idx,skill,tf,df,tfidf,pr
0,지원,38.0,41,65.59416309620518,0.03404276801383787
1,경력,22.0,20,53.22480608064812,0.027623185363726918
2,채용,17.0,11,50.64172763903937,0.02628259138404216
3,네트워크,8.0,0,43.71065444020488,0.022685428071678743
4,연구,9.0,2,39.2869756472175,0.020389579419771545
5,보수,8.0,1,38.16547699572532,0.019807531923188893
6,자격,13.0,20,31.45102177492843,0.016322791351293175
7,유지보수,7.0,2,30.556536614502505,0.015858561770933425
8,C,17.0,53,25.07241189384271,0.013012351425196494
9,설계,7.0,6,24.625451591792075,0.012780383134789493
10,기술지원,4.0,0,21.85532722010244,0.011342714035839372
11,전자,6.0,6,21.10752993582178,0.010954614115533853
12,개발,12.0,42,20.43158027198457,0.010603802450153018
13,기술,7.0,13,19.773421327872462,0.010262224004860876
14,프로젝트,6.0,9,18.967480272189388,0.00984394800138163
15,학력,7.0,17,18.01422032990612,0.009349214849219328
16,IOT,3.0,0,16.391495415076832,0.008507035526879531
17,UX,3.0,0,16.391495415076832,0.008507035526879531
18,인공지능,3.0,0,16.391495415076832,0.008507035526879531
19,서버,3.0,0,16.391495415076832,0.008507035526879531
20,W 개발,3.0,0,16.391495415076832,0.008507035526879531
21,JAVA,3.0,0,16.391495415076832,0.008507035526879531
22,서류,9.0,41,15.535459680680177,0.008062760845382655
23,개인,5.0,10,15.329682661136196,0.007955964462774032
24,유지,7.0,27,14.921391063952845,0.007744064874932255
25,IT,4.0,5,14.68828934319022,0.007623087223431317
26,LINUX,3.0,1,14.312053873396994,0.0074278244711958345
27,참여,4.0,6,14.071686623881186,0.007303076077022568
28,솔루션,6.0,22,13.970025534578763,0.007250314905665286
29,운영,10.0,58,13.862943611198906,0.00719474037122463
30,경력자,7.0,32,13.771269704913909,0.007147162456098169
31,보안,4.0,8,13.066428910757562,0.006781356559513113
32,통신,4.0,8,13.066428910757562,0.006781356559513113
33,업무,13.0,88,12.677540658815111,0.006579527129587057
34,계약,5.0,19,12.340497657358096,0.0064046049083452015
35,협의,4.0,10,12.263746128908958,0.006364771570219226
36,POS,3.0,3,12.23261233171716,0.0063486134155121415
37,기타,5.0,20,12.096546836510935,0.006277996673574299
38,모집,7.0,42,11.918421825324334,0.006185551429255928
39,기계,4.0,11,11.91570062095044,0.0061841391491863915
40,접수,5.0,25,11.02867633502064,0.005723781694144856
41,방화벽,2.0,0,10.92766361005122,0.005671357017919686
42,정보통신 공사 관련 공무 업무,2.0,0,10.92766361005122,0.005671357017919686
43,추천,2.0,0,10.92766361005122,0.005671357017919686
44,전기전자,2.0,0,10.92766361005122,0.005671357017919686
45,DB,2.0,0,10.92766361005122,0.005671357017919686
46,운전,4.0,17,10.293840188517782,0.0053424084852681875
47,프로그램,4.0,19,9.872398125886477,0.005123683926676161
48,관리,8.0,69,9.72269250381001,0.005045988084208566
49,자격증,6.0,47,9.555784764706315,0.004959364501044808
50,시스템 설계,2.0,1,9.54136924893133,0.004951882980797223
51,정보통신,4.0,21,9.491157406669176,0.0049258234959743
52,경험,4.0,24,8.979823920629636,0.004660446114492652
53,공무 업무,2.0,2,8.730439032715001,0.004531017648838121
54,공학,2.0,2,8.730439032715001,0.004531017648838121
55,교육,3.0,13,8.474323426231056,0.004398096002083233
56,제출,8.0,81,8.456900462090855,0.004389053643764424
57,항공,3.0,14,8.2673448117702,0.004290676002752162
58,평가,3.0,15,8.073729248357488,0.004190191304144752
59,PL,2.0,4,7.708787785183019,0.004000790037583006
60,PYTHON,2.0,5,7.34414467159511,0.0038115436117156583
61,출장,2.0,6,7.035843311940593,0.003651538038511284
62,별도,6.0,78,6.566303715351531,0.0034078513016815373
63,제안,2.0,8,6.533214455378781,0.0033906782797565563
64,운전가능,2.0,8,6.533214455378781,0.0033906782797565563
65,설치,2.0,9,6.322493424063129,0.0032813160004605433
66,중급,2.0,9,6.322493424063129,0.0032813160004605433
67,인원,2.0,10,6.131873064454479,0.003182385785109613
68,AI,2.0,11,5.957850310475219,0.0030920695745931953
69,프로젝트 관리,2.0,12,5.797764895128147,0.0030089867147804054
70,공무,2.0,12,5.797764895128147,0.0030089867147804054
71,수행,2.0,12,5.797764895128147,0.0030089867147804054
72,이메일,3.0,36,5.558741677144156,0.002884935860624135
73,안내,2.0,14,5.5115632078468,0.0028604506685014413
74,네트워크 운영,1.0,0,5.4638318050256105,0.0028356785089598434
75,가설건축물관련 설계유경험자,1.0,0,5.4638318050256105,0.0028356785089598434
76,APPLICATION,1.0,0,5.4638318050256105,0.0028356785089598434
77,GIT,1.0,0,5.4638318050256105,0.0028356785089598434
78,DB접근제어,1.0,0,5.4638318050256105,0.0028356785089598434
79,웹방화벽,1.0,0,5.4638318050256105,0.0028356785089598434
80,관련학과 전공자,1.0,0,5.4638318050256105,0.0028356785089598434
81,백엔드,1.0,0,5.4638318050256105,0.0028356785089598434
82,해외 출장,1.0,0,5.4638318050256105,0.0028356785089598434
83,CI,1.0,0,5.4638318050256105,0.0028356785089598434
84,VM웨어 운영,1.0,0,5.4638318050256105,0.0028356785089598434
85,세팅,1.0,0,5.4638318050256105,0.0028356785089598434
86,프론트엔드,1.0,0,5.4638318050256105,0.0028356785089598434
87,CAN,1.0,0,5.4638318050256105,0.0028356785089598434
88,클라우드 시스템,1.0,0,5.4638318050256105,0.0028356785089598434
89,외국어,1.0,0,5.4638318050256105,0.0028356785089598434
90,기관물품조사,1.0,0,5.4638318050256105,0.0028356785089598434
91,프로젝트 진행,1.0,0,5.4638318050256105,0.0028356785089598434
92,전자태그 스티커 부착,1.0,0,5.4638318050256105,0.0028356785089598434
93,PLC,1.0,0,5.4638318050256105,0.0028356785089598434
94,안드로이드,1.0,0,5.4638318050256105,0.0028356785089598434
95,근무 환경,1.0,0,5.4638318050256105,0.0028356785089598434
96,서버 관리,1.0,0,5.4638318050256105,0.0028356785089598434
97,IA,2.0,15,5.382486165571658,0.0027934608694298343
98,프로그램 운영,2.0,17,5.146920094258891,0.0026712042426340937
99,급여,2.0,17,5.146920094258891,0.0026712042426340937
100,관련 자격증 소지자,3.0,42,5.107895067996143,0.002650950612538255
101,전산,2.0,18,5.03878565171834,0.0026150834604188444
102,JAVA SCRIPT,1.0,1,4.770684624465665,0.0024759414903986116
103,전자태그 기계 납품,1.0,1,4.770684624465665,0.0024759414903986116
104,문제해결,1.0,1,4.770684624465665,0.0024759414903986116
105,리더십,1.0,1,4.770684624465665,0.0024759414903986116
106,해외출장,1.0,1,4.770684624465665,0.0024759414903986116
107,E-MAIL,1.0,1,4.770684624465665,0.0024759414903986116
108,실행,1.0,1,4.770684624465665,0.0024759414903986116
109,대인관계,1.0,1,4.770684624465665,0.0024759414903986116
110,납품,2.0,22,4.656675178192921,0.0024167716352217618
111,전기,3.0,49,4.655426398792391,0.0024161235301857946
112,구축,4.0,73,4.639066847285761,0.002407633073253921
113,해외,3.0,51,4.5377642593325485,0.0023550579608032198
114,클라우드,2.0,25,4.411470534008256,0.0022895126776579424
115,면허,2.0,25,4.411470534008256,0.0022895126776579424
116,스티커 부착,1.0,2,4.3652195163575005,0.0022655088244190606
117,IPT,1.0,2,4.3652195163575005,0.0022655088244190606
118,네트워크 구축,1.0,2,4.3652195163575005,0.0022655088244190606
119,프론트,1.0,2,4.3652195163575005,0.0022655088244190606
120,학사,1.0,2,4.3652195163575005,0.0022655088244190606
121,선정,1.0,2,4.3652195163575005,0.0022655088244190606
122,회원관리,1.0,2,4.3652195163575005,0.0022655088244190606
123,포상,3.0,55,4.315440342871383,0.0022396738907158433
124,직원,9.0,147,4.199575781353455,0.0021795412477702385
125,AR,3.0,59,4.1084617284105285,0.0021322538913847735
