idx,skill,tf,df,tfidf,pr
0,연구,4.0,2,17.460878065430002,0.03236501402398281
1,교육,4.0,13,11.299097901641408,0.020943704015034776
2,통계,3.0,6,10.55376496791089,0.019562174932572195
3,보고,3.0,7,10.153170790037322,0.018819644337248174
4,분석,5.0,43,8.398210855536744,0.015566697797057076
5,평가,3.0,15,8.073729248357488,0.014965247415952058
6,전자,2.0,6,7.035843311940593,0.013041449955048131
7,업무,7.0,88,6.826368047054292,0.012653172237265689
8,보고서,2.0,9,6.322493424063129,0.011719203786290402
9,임상문헌 분석 연구,1.0,0,5.4638318050256105,0.010127611700378845
10,SAS 통계 프로그램,1.0,0,5.4638318050256105,0.010127611700378845
11,평가자료 수집,1.0,0,5.4638318050256105,0.010127611700378845
12,약학,1.0,0,5.4638318050256105,0.010127611700378845
13,자료 수집,1.0,0,5.4638318050256105,0.010127611700378845
14,보고서작성,1.0,0,5.4638318050256105,0.010127611700378845
15,컴퓨터 단순입력 가능자,1.0,0,5.4638318050256105,0.010127611700378845
16,지원,3.0,41,5.178486560226725,0.009598703428126654
17,보건,3.0,47,4.777892382353158,0.008856172832802635
18,간호학,1.0,1,4.770684624465665,0.008842812726613471
19,사무,2.0,33,3.8749425608188974,0.007182489325741878
20,자료 입력,1.0,4,3.8543938925915096,0.007144400866910573
21,연구지원,1.0,6,3.5179216559702966,0.0065207249775240655
22,사무실,1.0,7,3.3843902633457743,0.0062732147790827255
23,업무 관리,1.0,9,3.1612467120315646,0.005859601893145201
24,AS,1.0,10,3.0659365322272394,0.005682937506942161
25,사무 보조,1.0,11,2.9789251552376097,0.005521655558464957
26,보조,1.0,16,2.630618460969394,0.004876043636636312
27,경영,1.0,18,2.51939282585917,0.004669878790476833
28,프로그램,1.0,19,2.468099531471619,0.004574802919379828
29,관리,2.0,69,2.4306731259525023,0.004505430340580844
30,기타,1.0,20,2.419309367302187,0.0044843667831409246
31,자격,1.0,20,2.419309367302187,0.0044843667831409246
32,경력,1.0,20,2.419309367302187,0.0044843667831409246
33,점검,1.0,33,1.9374712804094487,0.003591244662870939
34,직원 모집,1.0,33,1.9374712804094487,0.003591244662870939
35,정리,1.0,33,1.9374712804094487,0.003591244662870939
36,컴퓨터,1.0,36,1.8529138923813853,0.0034345113623402003
37,모집,1.0,42,1.7026316893320477,0.003155952312158375
38,업무 지원,1.0,55,1.4384801142904609,0.0026663280562279467
39,작성,1.0,66,1.259139185634644,0.002333906533709476
40,제출,1.0,81,1.057112557761357,0.0019594354091855403
41,직원,1.0,147,0.4666195312614949,0.0008649134148094548
42,법인세 관리,0.01,0,0.0546383180502561,0.00010127611700378844
43,소모품 수입,0.01,0,0.0546383180502561,0.00010127611700378844
44,영문 서신 작성,0.01,0,0.0546383180502561,0.00010127611700378844
45,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00010127611700378844
46,유해화학물질관리자,0.01,0,0.0546383180502561,0.00010127611700378844
47,가구 설치,0.01,0,0.0546383180502561,0.00010127611700378844
48,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00010127611700378844
49,타이어 탈착,0.01,0,0.0546383180502561,0.00010127611700378844
50,현장 조율,0.01,0,0.0546383180502561,0.00010127611700378844
51,경영계획 분석,0.01,0,0.0546383180502561,0.00010127611700378844
52,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00010127611700378844
53,납품계획 세우기,0.01,0,0.0546383180502561,0.00010127611700378844
54,불량재고 처리하기,0.01,0,0.0546383180502561,0.00010127611700378844
55,매뉴얼 업무,0.01,0,0.0546383180502561,0.00010127611700378844
56,건축업무 경험,0.01,0,0.0546383180502561,0.00010127611700378844
57,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00010127611700378844
58,평가계획 수립하기,0.01,0,0.0546383180502561,0.00010127611700378844
59,현장상황파악,0.01,0,0.0546383180502561,0.00010127611700378844
60,인허가관리,0.01,0,0.0546383180502561,0.00010127611700378844
61,사건 수임,0.01,0,0.0546383180502561,0.00010127611700378844
62,PF심의자료 작성,0.01,0,0.0546383180502561,0.00010127611700378844
63,디지털 교육 이해,0.01,0,0.0546383180502561,0.00010127611700378844
64,여행상품개발,0.01,0,0.0546383180502561,0.00010127611700378844
65,주차매출 관리,0.01,0,0.0546383180502561,0.00010127611700378844
66,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00010127611700378844
67,어도비 포토샵,0.01,0,0.0546383180502561,0.00010127611700378844
68,데미지 관리,0.01,0,0.0546383180502561,0.00010127611700378844
69,기관 소통 업무,0.01,0,0.0546383180502561,0.00010127611700378844
70,비디오메타 사용,0.01,0,0.0546383180502561,0.00010127611700378844
71,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00010127611700378844
72,자습감독,0.01,0,0.0546383180502561,0.00010127611700378844
73,JLPT 2급이상,0.01,0,0.0546383180502561,0.00010127611700378844
74,한자 관련 자격증,0.01,0,0.0546383180502561,0.00010127611700378844
75,기성취합,0.01,0,0.0546383180502561,0.00010127611700378844
76,KUBERNETES,0.01,0,0.0546383180502561,0.00010127611700378844
77,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00010127611700378844
78,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00010127611700378844
79,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00010127611700378844
80,데이터 마이닝,0.01,0,0.0546383180502561,0.00010127611700378844
81,채권현황 파악,0.01,0,0.0546383180502561,0.00010127611700378844
82,제품표준서 작성,0.01,0,0.0546383180502561,0.00010127611700378844
83,일용직 투입,0.01,0,0.0546383180502561,0.00010127611700378844
84,영업 손익관리,0.01,0,0.0546383180502561,0.00010127611700378844
85,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00010127611700378844
86,생산검토,0.01,0,0.0546383180502561,0.00010127611700378844
87,화학사고대응,0.01,0,0.0546383180502561,0.00010127611700378844
88,나라사업 발굴,0.01,0,0.0546383180502561,0.00010127611700378844
89,영상 프로그램,0.01,0,0.0546383180502561,0.00010127611700378844
90,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00010127611700378844
91,운영 원칙 이해,0.01,0,0.0546383180502561,0.00010127611700378844
92,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00010127611700378844
93,법규 검토,0.01,0,0.0546383180502561,0.00010127611700378844
94,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00010127611700378844
95,각종 사무관리,0.01,0,0.0546383180502561,0.00010127611700378844
96,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00010127611700378844
97,가격별 상품 구성,0.01,0,0.0546383180502561,0.00010127611700378844
98,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00010127611700378844
99,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00010127611700378844
100,수입신고서 작성,0.01,0,0.0546383180502561,0.00010127611700378844
101,근무표관리,0.01,0,0.0546383180502561,0.00010127611700378844
102,직업훈련 평가,0.01,0,0.0546383180502561,0.00010127611700378844
103,제품 기술정보,0.01,0,0.0546383180502561,0.00010127611700378844
104,지장물 조서 작성,0.01,0,0.0546383180502561,0.00010127611700378844
105,의료 비품 관리,0.01,0,0.0546383180502561,0.00010127611700378844
106,어도브 프로그램,0.01,0,0.0546383180502561,0.00010127611700378844
107,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00010127611700378844
108,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00010127611700378844
109,에어컨 조립,0.01,0,0.0546383180502561,0.00010127611700378844
110,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00010127611700378844
111,서버 기본 설치,0.01,0,0.0546383180502561,0.00010127611700378844
112,CLAIM 업무,0.01,0,0.0546383180502561,0.00010127611700378844
