idx,skill,tf,df,tfidf,pr
0,통신,5.0,8,16.333036138446953,0.03611609398492021
1,감리,4.0,6,14.071686623881186,0.031115730861461355
2,정보통신 감리,1.0,0,5.4638318050256105,0.012081786957147133
3,선로시설물 운용성공사,1.0,0,5.4638318050256105,0.012081786957147133
4,공사 관리,1.0,0,5.4638318050256105,0.012081786957147133
5,정보통신 감리업무,1.0,0,5.4638318050256105,0.012081786957147133
6,통신공사 시공,1.0,0,5.4638318050256105,0.012081786957147133
7,공사진행,1.0,1,4.770684624465665,0.01054907935114622
8,경험,2.0,24,4.489911960314818,0.009928226507809975
9,운용,1.0,2,4.3652195163575005,0.009652502877065587
10,공사 시공,1.0,3,4.07753744390572,0.009016371745145305
11,설계,1.0,6,3.5179216559702966,0.007778932715365339
12,시공,1.0,7,3.3843902633457743,0.007483664139144391
13,중급,1.0,9,3.1612467120315646,0.006990242499525146
14,업무,3.0,88,2.925586305880411,0.006469143219211619
15,경력,1.0,20,2.419309367302187,0.005349648635283794
16,정보통신,1.0,21,2.372789351667294,0.005246782196820779
17,관리자,1.0,23,2.2857779746776643,0.005054380059062845
18,경력자,1.0,32,1.9673242435591296,0.0043502057227401475
19,시설,1.0,42,1.7026316893320477,0.0037649096954405427
20,모집,1.0,42,1.7026316893320477,0.0037649096954405427
21,관련 업무,1.0,46,1.6136842033155514,0.0035682263759729345
22,진행,1.0,69,1.2153365629762511,0.0026873882577433533
23,관리,1.0,69,1.2153365629762511,0.0026873882577433533
24,현장,1.0,70,1.2011519279842946,0.002656022772100094
25,법인세 관리,0.01,0,0.0546383180502561,0.00012081786957147133
26,소모품 수입,0.01,0,0.0546383180502561,0.00012081786957147133
27,영문 서신 작성,0.01,0,0.0546383180502561,0.00012081786957147133
28,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00012081786957147133
29,유해화학물질관리자,0.01,0,0.0546383180502561,0.00012081786957147133
30,가구 설치,0.01,0,0.0546383180502561,0.00012081786957147133
31,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00012081786957147133
32,타이어 탈착,0.01,0,0.0546383180502561,0.00012081786957147133
33,현장 조율,0.01,0,0.0546383180502561,0.00012081786957147133
34,경영계획 분석,0.01,0,0.0546383180502561,0.00012081786957147133
35,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00012081786957147133
36,납품계획 세우기,0.01,0,0.0546383180502561,0.00012081786957147133
37,불량재고 처리하기,0.01,0,0.0546383180502561,0.00012081786957147133
38,매뉴얼 업무,0.01,0,0.0546383180502561,0.00012081786957147133
39,건축업무 경험,0.01,0,0.0546383180502561,0.00012081786957147133
40,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00012081786957147133
41,평가계획 수립하기,0.01,0,0.0546383180502561,0.00012081786957147133
42,현장상황파악,0.01,0,0.0546383180502561,0.00012081786957147133
43,인허가관리,0.01,0,0.0546383180502561,0.00012081786957147133
44,사건 수임,0.01,0,0.0546383180502561,0.00012081786957147133
45,PF심의자료 작성,0.01,0,0.0546383180502561,0.00012081786957147133
46,디지털 교육 이해,0.01,0,0.0546383180502561,0.00012081786957147133
47,여행상품개발,0.01,0,0.0546383180502561,0.00012081786957147133
48,주차매출 관리,0.01,0,0.0546383180502561,0.00012081786957147133
49,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00012081786957147133
50,어도비 포토샵,0.01,0,0.0546383180502561,0.00012081786957147133
51,데미지 관리,0.01,0,0.0546383180502561,0.00012081786957147133
52,기관 소통 업무,0.01,0,0.0546383180502561,0.00012081786957147133
53,비디오메타 사용,0.01,0,0.0546383180502561,0.00012081786957147133
54,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00012081786957147133
55,자습감독,0.01,0,0.0546383180502561,0.00012081786957147133
56,JLPT 2급이상,0.01,0,0.0546383180502561,0.00012081786957147133
57,한자 관련 자격증,0.01,0,0.0546383180502561,0.00012081786957147133
58,기성취합,0.01,0,0.0546383180502561,0.00012081786957147133
59,KUBERNETES,0.01,0,0.0546383180502561,0.00012081786957147133
60,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00012081786957147133
61,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00012081786957147133
62,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00012081786957147133
63,데이터 마이닝,0.01,0,0.0546383180502561,0.00012081786957147133
64,채권현황 파악,0.01,0,0.0546383180502561,0.00012081786957147133
65,제품표준서 작성,0.01,0,0.0546383180502561,0.00012081786957147133
66,일용직 투입,0.01,0,0.0546383180502561,0.00012081786957147133
67,영업 손익관리,0.01,0,0.0546383180502561,0.00012081786957147133
68,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00012081786957147133
69,생산검토,0.01,0,0.0546383180502561,0.00012081786957147133
70,화학사고대응,0.01,0,0.0546383180502561,0.00012081786957147133
71,나라사업 발굴,0.01,0,0.0546383180502561,0.00012081786957147133
72,영상 프로그램,0.01,0,0.0546383180502561,0.00012081786957147133
73,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00012081786957147133
74,운영 원칙 이해,0.01,0,0.0546383180502561,0.00012081786957147133
75,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00012081786957147133
76,법규 검토,0.01,0,0.0546383180502561,0.00012081786957147133
77,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00012081786957147133
78,각종 사무관리,0.01,0,0.0546383180502561,0.00012081786957147133
79,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00012081786957147133
80,가격별 상품 구성,0.01,0,0.0546383180502561,0.00012081786957147133
81,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00012081786957147133
82,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00012081786957147133
83,수입신고서 작성,0.01,0,0.0546383180502561,0.00012081786957147133
84,근무표관리,0.01,0,0.0546383180502561,0.00012081786957147133
85,직업훈련 평가,0.01,0,0.0546383180502561,0.00012081786957147133
86,제품 기술정보,0.01,0,0.0546383180502561,0.00012081786957147133
87,지장물 조서 작성,0.01,0,0.0546383180502561,0.00012081786957147133
88,의료 비품 관리,0.01,0,0.0546383180502561,0.00012081786957147133
89,어도브 프로그램,0.01,0,0.0546383180502561,0.00012081786957147133
90,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00012081786957147133
91,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00012081786957147133
92,에어컨 조립,0.01,0,0.0546383180502561,0.00012081786957147133
93,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00012081786957147133
94,서버 기본 설치,0.01,0,0.0546383180502561,0.00012081786957147133
95,CLAIM 업무,0.01,0,0.0546383180502561,0.00012081786957147133
96,PPT 활용능력,0.01,0,0.0546383180502561,0.00012081786957147133
97,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00012081786957147133
98,중량 점검표,0.01,0,0.0546383180502561,0.00012081786957147133
99,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00012081786957147133
100,관련업계 경험,0.01,0,0.0546383180502561,0.00012081786957147133
101,대표 업무,0.01,0,0.0546383180502561,0.00012081786957147133
102,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00012081786957147133
103,농업법인 상담,0.01,0,0.0546383180502561,0.00012081786957147133
104,온라인 MD 경력,0.01,0,0.0546383180502561,0.00012081786957147133
105,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00012081786957147133
106,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00012081786957147133
107,인터칩 통신,0.01,0,0.0546383180502561,0.00012081786957147133
108,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00012081786957147133
109,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00012081786957147133
110,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00012081786957147133
111,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00012081786957147133
112,입출납업무,0.01,0,0.0546383180502561,0.00012081786957147133
113,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00012081786957147133
114,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00012081786957147133
115,센서 제어 소프트웨어 연구,0.01,0,0.0546383180502561,0.00012081786957147133
116,방충ㆍ방서 관리하기,0.01,0,0.0546383180502561,0.00012081786957147133
117,컨테이너 오케스트레이션,0.01,0,0.0546383180502561,0.00012081786957147133
118,축구 전공자,0.01,0,0.0546383180502561,0.00012081786957147133
119,플레이스토어 배포 경험,0.01,0,0.0546383180502561,0.00012081786957147133
120,펌웨어 코딩하기,0.01,0,0.0546383180502561,0.00012081786957147133
121,정부공모사업 사업계획서 작성,0.01,0,0.0546383180502561,0.00012081786957147133
122,교육생 관리 커뮤니케이션,0.01,0,0.0546383180502561,0.00012081786957147133
123,DB DESIGN,0.01,0,0.0546383180502561,0.00012081786957147133
124,식자재 입고하기,0.01,0,0.0546383180502561,0.00012081786957147133
125,펌웨어 검증하기,0.01,0,0.0546383180502561,0.00012081786957147133
126,불만사항 수집,0.01,0,0.0546383180502561,0.00012081786957147133
127,전산회계 관련 자격증 소유자,0.01,0,0.0546383180502561,0.00012081786957147133
128,화장품과학,0.01,0,0.0546383180502561,0.00012081786957147133
129,노무 관련 업무,0.01,0,0.0546383180502561,0.00012081786957147133
130,구내통신구축 공사관리,0.01,0,0.0546383180502561,0.00012081786957147133
131,사회복지 관련 시설 운영 경력자,0.01,0,0.0546383180502561,0.00012081786957147133
132,소분하기,0.01,0,0.0546383180502561,0.00012081786957147133
133,자재사무원,0.01,0,0.0546383180502561,0.00012081786957147133
134,사진 찍기,0.01,0,0.0546383180502561,0.00012081786957147133
135,경제적 환경분석하기,0.01,0,0.0546383180502561,0.00012081786957147133
136,인적관리,0.01,0,0.0546383180502561,0.00012081786957147133
137,공구자재 관리,0.01,0,0.0546383180502561,0.00012081786957147133
138,봉제부,0.01,0,0.0546383180502561,0.00012081786957147133
139,아파트 회계 업무 유경험자,0.01,0,0.0546383180502561,0.00012081786957147133
140,빅데이터 분석모듈 개발,0.01,0,0.0546383180502561,0.00012081786957147133
141,음 매출대비 원가 산출,0.01,0,0.0546383180502561,0.00012081786957147133
142,관련 유경헙자,0.01,0,0.0546383180502561,0.00012081786957147133
143,사무OA 프로그램 자,0.01,0,0.0546383180502561,0.00012081786957147133
144,수강생관리,0.01,0,0.0546383180502561,0.00012081786957147133
145,신규 수강상담,0.01,0,0.0546383180502561,0.00012081786957147133
146,일반행정관리,0.01,0,0.0546383180502561,0.00012081786957147133
147,간이지급명세서 전자신고,0.01,0,0.0546383180502561,0.00012081786957147133
148,HSK 5급 이상,0.01,0,0.0546383180502561,0.00012081786957147133
149,MES전산사용,0.01,0,0.0546383180502561,0.00012081786957147133
150,신선 수산물 취급관리하기,0.01,0,0.0546383180502561,0.00012081786957147133
151,HRD-NET 교육 행정사무,0.01,0,0.0546383180502561,0.00012081786957147133
152,학교 환경,0.01,0,0.0546383180502561,0.00012081786957147133
153,빅데이터 또는 RDB 기반 데이터를 분석하고 조합하여 고객이 원하는 데이터 융복합 DATASET을 만들어 제공한 경험,0.01,0,0.0546383180502561,0.00012081786957147133
154,판매처별 행사,0.01,0,0.0546383180502561,0.00012081786957147133
155,산업용 미디어 컨버터,0.01,0,0.0546383180502561,0.00012081786957147133
156,원자력공학,0.01,0,0.0546383180502561,0.00012081786957147133
157,전화 소통,0.01,0,0.0546383180502561,0.00012081786957147133
158,철판 절단절곡제작,0.01,0,0.0546383180502561,0.00012081786957147133
159,인스타그램운영,0.01,0,0.0546383180502561,0.00012081786957147133
160,건축 또는 토목 소지자,0.01,0,0.0546383180502561,0.00012081786957147133
161,SIEM,0.01,0,0.0546383180502561,0.00012081786957147133
162,기타서류 보조,0.01,0,0.0546383180502561,0.00012081786957147133
163,카본섬유 활용 스포츠제품 개발,0.01,0,0.0546383180502561,0.00012081786957147133
164,국내외 식품 관련 규정,0.01,0,0.0546383180502561,0.00012081786957147133
165,관능평가,0.01,0,0.0546383180502561,0.00012081786957147133
166,재가장깅양기관,0.01,0,0.0546383180502561,0.00012081786957147133
167,수집 데이터 검증모듈 개발,0.01,0,0.0546383180502561,0.00012081786957147133
168,현장검측·시공 확인하기,0.01,0,0.0546383180502561,0.00012081786957147133
169,보증수리 일반정비 내역서 발행,0.01,0,0.0546383180502561,0.00012081786957147133
170,서버내 탑재된 솔류션,0.01,0,0.0546383180502561,0.00012081786957147133
171,상품 원가 분석,0.01,0,0.0546383180502561,0.00012081786957147133
172,영문 E-MAIL 독해,0.01,0,0.0546383180502561,0.00012081786957147133
173,각종 센서 활용한 개발 경험,0.01,0,0.0546383180502561,0.00012081786957147133
174,자동화 등,0.01,0,0.0546383180502561,0.00012081786957147133
175,RETAIL DEVELOPMENT,0.01,0,0.0546383180502561,0.00012081786957147133
176,EAP,0.01,0,0.0546383180502561,0.00012081786957147133
177,조직문화 활성화 방안 실행하기,0.01,0,0.0546383180502561,0.00012081786957147133
178,SW테스트 전략,0.01,0,0.0546383180502561,0.00012081786957147133
179,생산진도 관리하기,0.01,0,0.0546383180502561,0.00012081786957147133
180,개인결체창,0.01,0,0.0546383180502561,0.00012081786957147133
181,SNS 기반 활용,0.01,0,0.0546383180502561,0.00012081786957147133
182,세미나 개최,0.01,0,0.0546383180502561,0.00012081786957147133
183,교육 개발,0.01,0,0.0546383180502561,0.00012081786957147133
184,정보통신 지식,0.01,0,0.0546383180502561,0.00012081786957147133
185,구급차 운전,0.01,0,0.0546383180502561,0.00012081786957147133
186,환경미화원,0.01,0,0.0546383180502561,0.00012081786957147133
187,원자재 입출고 검수,0.01,0,0.0546383180502561,0.00012081786957147133
188,거래처 불만대응,0.01,0,0.0546383180502561,0.00012081786957147133
189,분양상품 수요 분석하기,0.01,0,0.0546383180502561,0.00012081786957147133
190,부동산 권리분석,0.01,0,0.0546383180502561,0.00012081786957147133
191,활동 유경험자,0.01,0,0.0546383180502561,0.00012081786957147133
192,부동산관련업무,0.01,0,0.0546383180502561,0.00012081786957147133
193,3D 렌더링,0.01,0,0.0546383180502561,0.00012081786957147133
194,제품공정별 관리,0.01,0,0.0546383180502561,0.00012081786957147133
195,고객사 데이터베이스 관리,0.01,0,0.0546383180502561,0.00012081786957147133
196,거래약정 감리하기,0.01,0,0.0546383180502561,0.00012081786957147133
197,내PC지키미,0.01,0,0.0546383180502561,0.00012081786957147133
198,UI 설계,0.01,0,0.0546383180502561,0.00012081786957147133
199,경영실적 측정하기,0.01,0,0.0546383180502561,0.00012081786957147133
200,과제비 집행,0.01,0,0.0546383180502561,0.00012081786957147133
201,기타 관련서류 작성,0.01,0,0.0546383180502561,0.00012081786957147133
202,치킨가맹점 수발주관리,0.01,0,0.0546383180502561,0.00012081786957147133
203,제조수량 관리,0.01,0,0.0546383180502561,0.00012081786957147133
204,운영 관련 프로그램 관리,0.01,0,0.0546383180502561,0.00012081786957147133
205,장비운용 전문교육,0.01,0,0.0546383180502561,0.00012081786957147133
206,사회복지사 1급,0.01,0,0.0546383180502561,0.00012081786957147133
207,여행상품 관리,0.01,0,0.0546383180502561,0.00012081786957147133
208,자동소화장치,0.01,0,0.0546383180502561,0.00012081786957147133
209,무역분쟁 해결하기,0.01,0,0.0546383180502561,0.00012081786957147133
210,조선소 납품,0.01,0,0.0546383180502561,0.00012081786957147133
211,구매단가 결정하기,0.01,0,0.0546383180502561,0.00012081786957147133
212,도급직원 관리,0.01,0,0.0546383180502561,0.00012081786957147133
213,공공 사업 현장대리인,0.01,0,0.0546383180502561,0.00012081786957147133
214,인공지능 모델 개발,0.01,0,0.0546383180502561,0.00012081786957147133
215,펌웨어 개발환경 구축하기,0.01,0,0.0546383180502561,0.00012081786957147133
216,정보통신기술자 경력수첩,0.01,0,0.0546383180502561,0.00012081786957147133
217,경영 업무지원,0.01,0,0.0546383180502561,0.00012081786957147133
218,정보화 활용 능력 자격증 소지자,0.01,0,0.0546383180502561,0.00012081786957147133
219,물류고객관리,0.01,0,0.0546383180502561,0.00012081786957147133
220,테스트자격증,0.01,0,0.0546383180502561,0.00012081786957147133
221,네트워크 운영,0.01,0,0.0546383180502561,0.00012081786957147133
222,전기설비 관련 경험,0.01,0,0.0546383180502561,0.00012081786957147133
223,소방 특급 선임 가능자,0.01,0,0.0546383180502561,0.00012081786957147133
224,장기요양보험수가 청구,0.01,0,0.0546383180502561,0.00012081786957147133
225,산업용광스위치,0.01,0,0.0546383180502561,0.00012081786957147133
226,우주항공 개발,0.01,0,0.0546383180502561,0.00012081786957147133
227,현장별 원가관리,0.01,0,0.0546383180502561,0.00012081786957147133
228,절차 준수,0.01,0,0.0546383180502561,0.00012081786957147133
229,행정 서류 관리,0.01,0,0.0546383180502561,0.00012081786957147133
230,안드로이드 AOSP,0.01,0,0.0546383180502561,0.00012081786957147133
231,자재 공급원 승인·검수하기,0.01,0,0.0546383180502561,0.00012081786957147133
232,부동산 시장 분석,0.01,0,0.0546383180502561,0.00012081786957147133
233,단가 협의,0.01,0,0.0546383180502561,0.00012081786957147133
234,모바일 홈페이지 관리,0.01,0,0.0546383180502561,0.00012081786957147133
235,VR 디지털 콘텐츠 제작,0.01,0,0.0546383180502561,0.00012081786957147133
236,예산 업무,0.01,0,0.0546383180502561,0.00012081786957147133
237,기술인 입퇴사 신고,0.01,0,0.0546383180502561,0.00012081786957147133
238,새로운 상품 컨텍,0.01,0,0.0546383180502561,0.00012081786957147133
239,생산일보작성,0.01,0,0.0546383180502561,0.00012081786957147133
240,산출기초 작성,0.01,0,0.0546383180502561,0.00012081786957147133
241,수리원,0.01,0,0.0546383180502561,0.00012081786957147133
242,생산직 직원관리,0.01,0,0.0546383180502561,0.00012081786957147133
243,조직문화 활성화 방안 수립하기,0.01,0,0.0546383180502561,0.00012081786957147133
244,GUI 설계,0.01,0,0.0546383180502561,0.00012081786957147133
245,이벤트 관리,0.01,0,0.0546383180502561,0.00012081786957147133
246,빅데이터 플랫폼 테스트 설계,0.01,0,0.0546383180502561,0.00012081786957147133
247,전기자재 납품,0.01,0,0.0546383180502561,0.00012081786957147133
248,연간 교육 프로그램 수립,0.01,0,0.0546383180502561,0.00012081786957147133
249,미들웨어 설계하기,0.01,0,0.0546383180502561,0.00012081786957147133
250,PC 자격증,0.01,0,0.0546383180502561,0.00012081786957147133
251,자동차 품질 LQC 업무,0.01,0,0.0546383180502561,0.00012081786957147133
252,근무수칙,0.01,0,0.0546383180502561,0.00012081786957147133
253,영문자료 작성 교정,0.01,0,0.0546383180502561,0.00012081786957147133
254,기능시험,0.01,0,0.0546383180502561,0.00012081786957147133
255,반응기,0.01,0,0.0546383180502561,0.00012081786957147133
256,파워포인트사용,0.01,0,0.0546383180502561,0.00012081786957147133
257,퇴직금 산정서 작성,0.01,0,0.0546383180502561,0.00012081786957147133
258,외부 품질문제 관리,0.01,0,0.0546383180502561,0.00012081786957147133
259,관리체계정립,0.01,0,0.0546383180502561,0.00012081786957147133
260,해운 계통 전공,0.01,0,0.0546383180502561,0.00012081786957147133
261,피드백 반영,0.01,0,0.0546383180502561,0.00012081786957147133
262,생물공학,0.01,0,0.0546383180502561,0.00012081786957147133
263,프레스작업,0.01,0,0.0546383180502561,0.00012081786957147133
264,IPT 운용 경험,0.01,0,0.0546383180502561,0.00012081786957147133
265,주간계획 수립,0.01,0,0.0546383180502561,0.00012081786957147133
266,정보보안 제품군,0.01,0,0.0546383180502561,0.00012081786957147133
267,자동차부품 제조업 관리직 업무 필수 5년이상 10년 이하,0.01,0,0.0546383180502561,0.00012081786957147133
268,연결재무제표 작성하기,0.01,0,0.0546383180502561,0.00012081786957147133
269,올리콘 리더십,0.01,0,0.0546383180502561,0.00012081786957147133
270,항공 AWB 작성,0.01,0,0.0546383180502561,0.00012081786957147133
271,동업종 팀장 경력,0.01,0,0.0546383180502561,0.00012081786957147133
272,복합운송방법 결정하기,0.01,0,0.0546383180502561,0.00012081786957147133
273,자동차보상,0.01,0,0.0546383180502561,0.00012081786957147133
274,임대매매,0.01,0,0.0546383180502561,0.00012081786957147133
275,수급자 관리,0.01,0,0.0546383180502561,0.00012081786957147133
276,시공상세도면 작성,0.01,0,0.0546383180502561,0.00012081786957147133
277,유통 구매 경력자,0.01,0,0.0546383180502561,0.00012081786957147133
278,충진 관리,0.01,0,0.0546383180502561,0.00012081786957147133
279,임베디드 소프트 설계,0.01,0,0.0546383180502561,0.00012081786957147133
280,전산기기 관리,0.01,0,0.0546383180502561,0.00012081786957147133
