idx,skill,tf,df,tfidf,pr
0,개발,23.0,42,39.16052885463709,0.0345104629654291
1,펌웨어,7.0,1,33.394792371259655,0.029429371335726585
2,통신,10.0,8,32.66607227689391,0.02878718215789082
3,연구,7.0,2,30.556536614502505,0.02692814055450885
4,설계,7.0,6,24.625451591792075,0.021701334481974862
5,제품,8.0,10,24.527492257817915,0.021615007201263664
6,공학,5.0,2,21.8260975817875,0.01923438611036346
7,전자,6.0,6,21.10752993582178,0.01860114384169274
8,경력,6.0,20,14.515856203813122,0.012792189803991078
9,경험,6.0,24,13.469735880944455,0.011870289673536968
10,C,9.0,53,13.27362982615202,0.01169746997627669
11,임베디드 시스템,2.0,0,10.92766361005122,0.009630072456712605
12,임베디드,2.0,0,10.92766361005122,0.009630072456712605
13,RF MODULE,2.0,0,10.92766361005122,0.009630072456712605
14,UI,2.0,0,10.92766361005122,0.009630072456712605
15,자격,4.0,20,9.677237469208748,0.008528126535994052
16,정보통신,4.0,21,9.491157406669176,0.008364142307621808
17,제품개발,2.0,2,8.730439032715001,0.007693754444145385
18,펌웨어 개발,2.0,4,7.708787785183019,0.0067934178406124646
19,주차,2.0,6,7.035843311940593,0.006200381280564247
20,제어,2.0,7,6.768780526691549,0.0059650305171975735
21,셔틀,3.0,25,6.617205801012384,0.005831454334494246
22,인증,3.0,26,6.503984817063843,0.005731677628516414
23,부품,2.0,10,6.131873064454479,0.005403751800315916
24,채용,2.0,11,5.957850310475219,0.005250393151135363
25,유경험자,4.0,57,5.613555177916763,0.004946980894742171
26,펌웨어 코딩하기,1.0,0,5.4638318050256105,0.0048150362283563035
27,펌웨어 검증하기,1.0,0,5.4638318050256105,0.0048150362283563035
28,펌웨어 개발환경 구축하기,1.0,0,5.4638318050256105,0.0048150362283563035
29,산업용광스위치,1.0,0,5.4638318050256105,0.0048150362283563035
30,D 연구과제 사업,1.0,0,5.4638318050256105,0.0048150362283563035
31,개발경력 3년이상,1.0,0,5.4638318050256105,0.0048150362283563035
32,성능인증신청,1.0,0,5.4638318050256105,0.0048150362283563035
33,광전송장비,1.0,0,5.4638318050256105,0.0048150362283563035
34,MFC UI 프로그램 개발,1.0,0,5.4638318050256105,0.0048150362283563035
35,제안 사업,1.0,0,5.4638318050256105,0.0048150362283563035
36,IOT,1.0,0,5.4638318050256105,0.0048150362283563035
37,정보통신기술자 자격증,1.0,0,5.4638318050256105,0.0048150362283563035
38,네트워크,1.0,0,5.4638318050256105,0.0048150362283563035
39,MFC,1.0,0,5.4638318050256105,0.0048150362283563035
40,FPGA,1.0,0,5.4638318050256105,0.0048150362283563035
41,조달우수제품인증,1.0,0,5.4638318050256105,0.0048150362283563035
42,회로설계,1.0,0,5.4638318050256105,0.0048150362283563035
43,POWER AMP,1.0,0,5.4638318050256105,0.0048150362283563035
44,정보통신공학,1.0,0,5.4638318050256105,0.0048150362283563035
45,임베디드 시스템 개발,1.0,0,5.4638318050256105,0.0048150362283563035
46,요구사항 분석하기,1.0,0,5.4638318050256105,0.0048150362283563035
47,통신장비 설계,1.0,0,5.4638318050256105,0.0048150362283563035
48,제품설계,1.0,0,5.4638318050256105,0.0048150362283563035
49,관련 장비 설계,1.0,0,5.4638318050256105,0.0048150362283563035
50,시스템공학,1.0,0,5.4638318050256105,0.0048150362283563035
51,XILINX FPGA 개발,1.0,0,5.4638318050256105,0.0048150362283563035
52,RF 하드웨어,1.0,0,5.4638318050256105,0.0048150362283563035
53,CCNP,1.0,0,5.4638318050256105,0.0048150362283563035
54,VHDL,1.0,0,5.4638318050256105,0.0048150362283563035
55,IOT 실시간 모니터링 장비,1.0,0,5.4638318050256105,0.0048150362283563035
56,펌웨어 요구사항 분석하기,1.0,0,5.4638318050256105,0.0048150362283563035
57,정보통신 관련 분야 장비 개발,1.0,0,5.4638318050256105,0.0048150362283563035
58,주파수분할 다중화장비,1.0,0,5.4638318050256105,0.0048150362283563035
59,정보통신 관련 장비,1.0,0,5.4638318050256105,0.0048150362283563035
60,개발 경험자,1.0,0,5.4638318050256105,0.0048150362283563035
61,시험장비 개발,1.0,0,5.4638318050256105,0.0048150362283563035
62,MOTOR CONTROL,1.0,0,5.4638318050256105,0.0048150362283563035
63,하드웨어,2.0,16,5.261236921938788,0.0046364982102486815
64,지원,3.0,41,5.178486560226725,0.0045635739322380225
65,학력,2.0,17,5.146920094258891,0.004535755785073153
66,급여,2.0,17,5.146920094258891,0.004535755785073153
67,주차장,2.0,18,5.03878565171834,0.004440461625782423
68,기계 · 기구설계,1.0,1,4.770684624465665,0.0042041959051037974
69,응용소프트웨어공학,1.0,1,4.770684624465665,0.0042041959051037974
70,C++ 언어,1.0,1,4.770684624465665,0.0042041959051037974
71,통신연구개발,1.0,1,4.770684624465665,0.0042041959051037974
72,하드웨어 개발,1.0,1,4.770684624465665,0.0042041959051037974
73,CCNA,1.0,1,4.770684624465665,0.0042041959051037974
74,꼼꼼함,1.0,1,4.770684624465665,0.0042041959051037974
75,전자공학,1.0,1,4.770684624465665,0.0042041959051037974
76,제품 개발,1.0,1,4.770684624465665,0.0042041959051037974
77,MATLAB,1.0,2,4.3652195163575005,0.0038468772220726925
78,펌웨어 구현,1.0,2,4.3652195163575005,0.0038468772220726925
79,연구과제,1.0,2,4.3652195163575005,0.0038468772220726925
80,모니터링,1.0,2,4.3652195163575005,0.0038468772220726925
81,GO,1.0,2,4.3652195163575005,0.0038468772220726925
82,운용,1.0,2,4.3652195163575005,0.0038468772220726925
83,하차,1.0,2,4.3652195163575005,0.0038468772220726925
84,업무,4.0,88,3.9007817411738808,0.0034375885043509274
85,컴퓨터,2.0,36,3.705827784762771,0.003265784101053325
86,기구,1.0,5,3.672072335797555,0.003236036898820187
87,현장,3.0,70,3.603455783952884,0.0031755681298706946
88,미디어,1.0,6,3.5179216559702966,0.0031001906402821234
89,프로그램 개발,1.0,7,3.3843902633457743,0.0029825152585987867
90,CAD,1.0,7,3.3843902633457743,0.0029825152585987867
91,환경,1.0,7,3.3843902633457743,0.0029825152585987867
92,C++,1.0,8,3.2666072276893905,0.0028787182157890816
93,제안,1.0,8,3.2666072276893905,0.0028787182157890816
94,전기,2.0,49,3.103617599194928,0.002735082578007312
95,협의,1.0,10,3.0659365322272394,0.002701875900157958
96,자동차부품,1.0,11,2.9789251552376097,0.0026251965755676814
97,기계,1.0,11,2.9789251552376097,0.0026251965755676814
98,.NET,1.0,12,2.8988824475640733,0.002554658434750588
99,행사,1.0,12,2.8988824475640733,0.002554658434750588
100,코딩,1.0,13,2.824774475410352,0.0024893503170296187
101,기술,1.0,13,2.824774475410352,0.0024893503170296187
102,차량,1.0,13,2.824774475410352,0.0024893503170296187
103,항공,1.0,14,2.7557816039234,0.002428549914022622
104,송장,1.0,15,2.691243082785829,0.002371674935346281
105,성실,1.0,16,2.630618460969394,0.0023182491051243407
106,계획,1.0,19,2.468099531471619,0.002175028273801221
107,프로그램,1.0,19,2.468099531471619,0.002175028273801221
108,시험,1.0,20,2.419309367302187,0.002132031633998513
109,검증,1.0,30,2.029844600540464,0.001788813352663214
110,취득,1.0,30,2.029844600540464,0.001788813352663214
111,자동차,1.0,31,1.9980959022258835,0.0017608346120937754
112,경력자,1.0,32,1.9673242435591296,0.001733716893874347
113,이메일,1.0,36,1.8529138923813853,0.0016328920505266622
114,경력자 우대,1.0,37,1.826245645299224,0.0016093904896387055
115,모집,1.0,42,1.7026316893320477,0.001500454911540396
116,분석,1.0,43,1.6796421711073488,0.0014801952536529469
117,자격증,1.0,47,1.5926307941177191,0.0014035159290626703
118,진행,1.0,69,1.2153365629762511,0.0010710230089795475
119,구축,1.0,73,1.1597667118214403,0.0010220517272741569
120,제조,1.0,77,1.1071229783360184,0.0009756591052144717
121,기업,1.0,94,0.9099549134250692,0.0008019035048411404
122,법인세 관리,0.01,0,0.0546383180502561,4.815036228356303e-05
123,소모품 수입,0.01,0,0.0546383180502561,4.815036228356303e-05
124,영문 서신 작성,0.01,0,0.0546383180502561,4.815036228356303e-05
125,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,4.815036228356303e-05
126,유해화학물질관리자,0.01,0,0.0546383180502561,4.815036228356303e-05
127,가구 설치,0.01,0,0.0546383180502561,4.815036228356303e-05
128,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,4.815036228356303e-05
129,타이어 탈착,0.01,0,0.0546383180502561,4.815036228356303e-05
130,현장 조율,0.01,0,0.0546383180502561,4.815036228356303e-05
131,경영계획 분석,0.01,0,0.0546383180502561,4.815036228356303e-05
132,폐기물 관련 업무,0.01,0,0.0546383180502561,4.815036228356303e-05
133,납품계획 세우기,0.01,0,0.0546383180502561,4.815036228356303e-05
134,불량재고 처리하기,0.01,0,0.0546383180502561,4.815036228356303e-05
135,매뉴얼 업무,0.01,0,0.0546383180502561,4.815036228356303e-05
136,건축업무 경험,0.01,0,0.0546383180502561,4.815036228356303e-05
137,UX 시나리오 제작,0.01,0,0.0546383180502561,4.815036228356303e-05
138,평가계획 수립하기,0.01,0,0.0546383180502561,4.815036228356303e-05
139,현장상황파악,0.01,0,0.0546383180502561,4.815036228356303e-05
140,인허가관리,0.01,0,0.0546383180502561,4.815036228356303e-05
141,사건 수임,0.01,0,0.0546383180502561,4.815036228356303e-05
142,PF심의자료 작성,0.01,0,0.0546383180502561,4.815036228356303e-05
143,디지털 교육 이해,0.01,0,0.0546383180502561,4.815036228356303e-05
144,여행상품개발,0.01,0,0.0546383180502561,4.815036228356303e-05
145,주차매출 관리,0.01,0,0.0546383180502561,4.815036228356303e-05
146,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,4.815036228356303e-05
147,어도비 포토샵,0.01,0,0.0546383180502561,4.815036228356303e-05
148,데미지 관리,0.01,0,0.0546383180502561,4.815036228356303e-05
149,기관 소통 업무,0.01,0,0.0546383180502561,4.815036228356303e-05
150,비디오메타 사용,0.01,0,0.0546383180502561,4.815036228356303e-05
151,소프트웨어 테스트하기,0.01,0,0.0546383180502561,4.815036228356303e-05
152,자습감독,0.01,0,0.0546383180502561,4.815036228356303e-05
153,JLPT 2급이상,0.01,0,0.0546383180502561,4.815036228356303e-05
154,한자 관련 자격증,0.01,0,0.0546383180502561,4.815036228356303e-05
155,기성취합,0.01,0,0.0546383180502561,4.815036228356303e-05
156,KUBERNETES,0.01,0,0.0546383180502561,4.815036228356303e-05
157,프로젝트 코디네이팅,0.01,0,0.0546383180502561,4.815036228356303e-05
158,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,4.815036228356303e-05
159,경비지도사 직무교육,0.01,0,0.0546383180502561,4.815036228356303e-05
160,데이터 마이닝,0.01,0,0.0546383180502561,4.815036228356303e-05
161,채권현황 파악,0.01,0,0.0546383180502561,4.815036228356303e-05
162,제품표준서 작성,0.01,0,0.0546383180502561,4.815036228356303e-05
163,일용직 투입,0.01,0,0.0546383180502561,4.815036228356303e-05
164,영업 손익관리,0.01,0,0.0546383180502561,4.815036228356303e-05
165,불꽃놀이 연출,0.01,0,0.0546383180502561,4.815036228356303e-05
166,생산검토,0.01,0,0.0546383180502561,4.815036228356303e-05
167,화학사고대응,0.01,0,0.0546383180502561,4.815036228356303e-05
168,나라사업 발굴,0.01,0,0.0546383180502561,4.815036228356303e-05
169,영상 프로그램,0.01,0,0.0546383180502561,4.815036228356303e-05
170,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,4.815036228356303e-05
171,운영 원칙 이해,0.01,0,0.0546383180502561,4.815036228356303e-05
172,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,4.815036228356303e-05
173,법규 검토,0.01,0,0.0546383180502561,4.815036228356303e-05
174,분양 타당성 분석하기,0.01,0,0.0546383180502561,4.815036228356303e-05
175,각종 사무관리,0.01,0,0.0546383180502561,4.815036228356303e-05
176,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,4.815036228356303e-05
177,가격별 상품 구성,0.01,0,0.0546383180502561,4.815036228356303e-05
178,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,4.815036228356303e-05
179,국제계약규범 활용하기,0.01,0,0.0546383180502561,4.815036228356303e-05
180,수입신고서 작성,0.01,0,0.0546383180502561,4.815036228356303e-05
