idx,skill,tf,df,tfidf,pr
0,판매,6.0,13,16.94864685246211,0.02732812624397474
1,관리,9.0,69,10.93802906678626,0.017636560711864556
2,피트니스,2.0,0,10.92766361005122,0.017619847371106587
3,오픈마켓,2.0,1,9.54136924893133,0.015384575868798359
4,소매,2.0,2,8.730439032715001,0.014077025861017398
5,근무시간,4.0,28,8.386143900156544,0.013521881787885878
6,매장관리,2.0,3,8.15507488781144,0.013149304366490125
7,급여,3.0,17,7.720380141388336,0.01244839927292996
8,자격,3.0,20,7.257928101906561,0.011702738110315929
9,경력,3.0,20,7.257928101906561,0.011702738110315929
10,쇼핑몰,2.0,9,6.322493424063129,0.010194436167887792
11,운전 가능자,2.0,10,6.131873064454479,0.009887078459782598
12,운전 가능,2.0,10,6.131873064454479,0.009887078459782598
13,인터넷,2.0,11,5.957850310475219,0.009606482856400932
14,업무,6.0,88,5.851172611760822,0.009434474928968055
15,피트니스 매장관리 경험자,1.0,0,5.4638318050256105,0.008809923685553295
16,마트 청과물 코너 근무,1.0,0,5.4638318050256105,0.008809923685553295
17,엑셀사용능숙자,1.0,0,5.4638318050256105,0.008809923685553295
18,근무시간대 조율,1.0,0,5.4638318050256105,0.008809923685553295
19,대형 사우나,1.0,0,5.4638318050256105,0.008809923685553295
20,성실,2.0,16,5.261236921938788,0.008483258165315867
21,운전,2.0,17,5.146920094258891,0.008298932848619975
22,1톤,1.0,1,4.770684624465665,0.0076922879343991795
23,4대보험,2.0,23,4.571555949355329,0.0073712113540927
24,제품 입출고 관리,1.0,2,4.3652195163575005,0.007038512930508699
25,구내,1.0,3,4.07753744390572,0.006574652183245063
26,지게차 운전,1.0,4,3.8543938925915096,0.006214853835098012
27,인근거주자,1.0,4,3.8543938925915096,0.006214853835098012
28,NAVER,1.0,5,3.672072335797555,0.005920877179354583
29,모집,2.0,42,3.405263378664096,0.005490672400941419
30,퇴직연금,1.0,8,3.2666072276893905,0.0052671021754641025
31,출고 관리,1.0,10,3.0659365322272394,0.004943539229891299
32,입출고,1.0,10,3.0659365322272394,0.004943539229891299
33,제품,1.0,10,3.0659365322272394,0.004943539229891299
34,협의,1.0,10,3.0659365322272394,0.004943539229891299
35,채용,1.0,11,2.9789251552376097,0.004803241428200466
36,관련업무,1.0,12,2.8988824475640733,0.004674179961568149
37,임금,1.0,13,2.824774475410352,0.004554687707329124
38,운영,2.0,58,2.772588722239781,0.004470543004616465
39,지게차,1.0,14,2.7557816039234,0.004443443080053416
40,엑셀사용,1.0,15,2.691243082785829,0.00433938068093683
41,엑셀,1.0,16,2.630618460969394,0.004241629082657934
42,학력,1.0,17,2.573460047129445,0.0041494664243099865
43,입출고 관리,1.0,19,2.468099531471619,0.003979582332789779
44,기타,1.0,20,2.419309367302187,0.003900912703438643
45,설비,1.0,23,2.2857779746776643,0.00368560567704635
46,전화,1.0,24,2.244955980157409,0.0036197839846427277
47,경험,1.0,24,2.244955980157409,0.0036197839846427277
48,원가,1.0,26,2.167994939021281,0.0034956914204195074
49,매입,1.0,30,2.029844600540464,0.0032729367708291086
50,4대보험 가입,1.0,31,1.9980959022258835,0.003221744929782714
51,경력자,1.0,32,1.9673242435591296,0.003172128474846703
52,정리,1.0,33,1.9374712804094487,0.0031239933315038173
53,현장관리,1.0,41,1.7261621867422416,0.0027832769522845267
54,지원,1.0,41,1.7261621867422416,0.0027832769522845267
55,시설,1.0,42,1.7026316893320477,0.0027453362004707096
56,협의 가능,1.0,44,1.6571693152552902,0.0026720323250088197
57,출고,1.0,47,1.5926307941177191,0.0025679699258922342
58,근무 가능자,1.0,53,1.4748477584613358,0.002378055669265391
59,C,1.0,53,1.4748477584613358,0.002378055669265391
60,보험,3.0,146,1.4201976547406212,0.002289937429105762
61,월급,1.0,57,1.4033887944791907,0.0022628346958173534
62,직원,3.0,147,1.399858593784485,0.0022571425735440362
63,관리업무,1.0,59,1.3694872428035094,0.0022081715777451834
64,현장,1.0,70,1.2011519279842946,0.001936746444237817
65,관리 업무,1.0,88,0.9751954352934702,0.0015724124881613425
66,법인세 관리,0.01,0,0.0546383180502561,8.809923685553296e-05
67,소모품 수입,0.01,0,0.0546383180502561,8.809923685553296e-05
68,영문 서신 작성,0.01,0,0.0546383180502561,8.809923685553296e-05
69,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,8.809923685553296e-05
70,유해화학물질관리자,0.01,0,0.0546383180502561,8.809923685553296e-05
71,가구 설치,0.01,0,0.0546383180502561,8.809923685553296e-05
72,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,8.809923685553296e-05
73,타이어 탈착,0.01,0,0.0546383180502561,8.809923685553296e-05
74,현장 조율,0.01,0,0.0546383180502561,8.809923685553296e-05
75,경영계획 분석,0.01,0,0.0546383180502561,8.809923685553296e-05
76,폐기물 관련 업무,0.01,0,0.0546383180502561,8.809923685553296e-05
77,납품계획 세우기,0.01,0,0.0546383180502561,8.809923685553296e-05
78,불량재고 처리하기,0.01,0,0.0546383180502561,8.809923685553296e-05
79,매뉴얼 업무,0.01,0,0.0546383180502561,8.809923685553296e-05
80,건축업무 경험,0.01,0,0.0546383180502561,8.809923685553296e-05
81,UX 시나리오 제작,0.01,0,0.0546383180502561,8.809923685553296e-05
82,평가계획 수립하기,0.01,0,0.0546383180502561,8.809923685553296e-05
83,현장상황파악,0.01,0,0.0546383180502561,8.809923685553296e-05
84,인허가관리,0.01,0,0.0546383180502561,8.809923685553296e-05
85,사건 수임,0.01,0,0.0546383180502561,8.809923685553296e-05
86,PF심의자료 작성,0.01,0,0.0546383180502561,8.809923685553296e-05
87,디지털 교육 이해,0.01,0,0.0546383180502561,8.809923685553296e-05
88,여행상품개발,0.01,0,0.0546383180502561,8.809923685553296e-05
89,주차매출 관리,0.01,0,0.0546383180502561,8.809923685553296e-05
90,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,8.809923685553296e-05
91,어도비 포토샵,0.01,0,0.0546383180502561,8.809923685553296e-05
92,데미지 관리,0.01,0,0.0546383180502561,8.809923685553296e-05
93,기관 소통 업무,0.01,0,0.0546383180502561,8.809923685553296e-05
94,비디오메타 사용,0.01,0,0.0546383180502561,8.809923685553296e-05
95,소프트웨어 테스트하기,0.01,0,0.0546383180502561,8.809923685553296e-05
96,자습감독,0.01,0,0.0546383180502561,8.809923685553296e-05
97,JLPT 2급이상,0.01,0,0.0546383180502561,8.809923685553296e-05
98,한자 관련 자격증,0.01,0,0.0546383180502561,8.809923685553296e-05
99,기성취합,0.01,0,0.0546383180502561,8.809923685553296e-05
100,KUBERNETES,0.01,0,0.0546383180502561,8.809923685553296e-05
101,프로젝트 코디네이팅,0.01,0,0.0546383180502561,8.809923685553296e-05
102,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,8.809923685553296e-05
103,경비지도사 직무교육,0.01,0,0.0546383180502561,8.809923685553296e-05
104,데이터 마이닝,0.01,0,0.0546383180502561,8.809923685553296e-05
105,채권현황 파악,0.01,0,0.0546383180502561,8.809923685553296e-05
106,제품표준서 작성,0.01,0,0.0546383180502561,8.809923685553296e-05
107,일용직 투입,0.01,0,0.0546383180502561,8.809923685553296e-05
108,영업 손익관리,0.01,0,0.0546383180502561,8.809923685553296e-05
109,불꽃놀이 연출,0.01,0,0.0546383180502561,8.809923685553296e-05
110,생산검토,0.01,0,0.0546383180502561,8.809923685553296e-05
111,화학사고대응,0.01,0,0.0546383180502561,8.809923685553296e-05
112,나라사업 발굴,0.01,0,0.0546383180502561,8.809923685553296e-05
113,영상 프로그램,0.01,0,0.0546383180502561,8.809923685553296e-05
114,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,8.809923685553296e-05
115,운영 원칙 이해,0.01,0,0.0546383180502561,8.809923685553296e-05
116,법규 검토,0.01,0,0.0546383180502561,8.809923685553296e-05
117,분양 타당성 분석하기,0.01,0,0.0546383180502561,8.809923685553296e-05
118,각종 사무관리,0.01,0,0.0546383180502561,8.809923685553296e-05
119,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,8.809923685553296e-05
120,가격별 상품 구성,0.01,0,0.0546383180502561,8.809923685553296e-05
121,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,8.809923685553296e-05
122,국제계약규범 활용하기,0.01,0,0.0546383180502561,8.809923685553296e-05
123,수입신고서 작성,0.01,0,0.0546383180502561,8.809923685553296e-05
124,근무표관리,0.01,0,0.0546383180502561,8.809923685553296e-05
125,직업훈련 평가,0.01,0,0.0546383180502561,8.809923685553296e-05
126,제품 기술정보,0.01,0,0.0546383180502561,8.809923685553296e-05
127,지장물 조서 작성,0.01,0,0.0546383180502561,8.809923685553296e-05
128,의료 비품 관리,0.01,0,0.0546383180502561,8.809923685553296e-05
129,어도브 프로그램,0.01,0,0.0546383180502561,8.809923685553296e-05
130,농산식품 매장 관리하기,0.01,0,0.0546383180502561,8.809923685553296e-05
131,UX 콘셉트 디자인,0.01,0,0.0546383180502561,8.809923685553296e-05
132,에어컨 조립,0.01,0,0.0546383180502561,8.809923685553296e-05
133,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,8.809923685553296e-05
134,서버 기본 설치,0.01,0,0.0546383180502561,8.809923685553296e-05
135,CLAIM 업무,0.01,0,0.0546383180502561,8.809923685553296e-05
136,PPT 활용능력,0.01,0,0.0546383180502561,8.809923685553296e-05
137,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,8.809923685553296e-05
138,중량 점검표,0.01,0,0.0546383180502561,8.809923685553296e-05
139,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,8.809923685553296e-05
140,관련업계 경험,0.01,0,0.0546383180502561,8.809923685553296e-05
141,대표 업무,0.01,0,0.0546383180502561,8.809923685553296e-05
142,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,8.809923685553296e-05
143,농업법인 상담,0.01,0,0.0546383180502561,8.809923685553296e-05
144,온라인 MD 경력,0.01,0,0.0546383180502561,8.809923685553296e-05
145,GUI 프로그래밍,0.01,0,0.0546383180502561,8.809923685553296e-05
146,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,8.809923685553296e-05
147,인터칩 통신,0.01,0,0.0546383180502561,8.809923685553296e-05
148,품질 개선방법 파악,0.01,0,0.0546383180502561,8.809923685553296e-05
149,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,8.809923685553296e-05
150,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,8.809923685553296e-05
151,유통사 파트너 시스템,0.01,0,0.0546383180502561,8.809923685553296e-05
152,입출납업무,0.01,0,0.0546383180502561,8.809923685553296e-05
