idx,skill,tf,df,tfidf,pr
0,개발,74.0,42,125.99474501057152,0.04261223970407069
1,임베디드,23.0,0,125.66813151558904,0.042501776902327565
2,C,68.0,53,100.28964757537084,0.03391860908135416
3,펌웨어,17.0,1,81.1016386159163,0.02742910003750056
4,UX,11.0,0,60.10214985528172,0.020326936779374055
5,경험,25.0,24,56.12389950393523,0.018981466715839605
6,W 개발,9.0,0,49.1744862452305,0.016631130092215136
7,설계,13.0,6,45.73298152761386,0.015467190882230896
8,LINUX,9.0,1,42.93616162019099,0.014521288255147357
9,경력,17.0,20,41.12825924413718,0.013909843949247935
10,공학,9.0,2,39.2869756472175,0.013287109898010071
11,IOT,7.0,0,38.24682263517927,0.012935323405056215
12,C++,11.0,8,35.9326795045833,0.012152665193539454
13,통신,11.0,8,35.9326795045833,0.012152665193539454
14,전자,10.0,6,35.179216559702965,0.011897839140177611
15,펌웨어 개발,9.0,4,34.68954503332358,0.011732229054958694
16,소프트웨어 개발,9.0,4,34.68954503332358,0.011732229054958694
17,기술,12.0,13,33.89729370492422,0.011464284518789433
18,리눅스,10.0,7,33.843902633457745,0.011446227312235336
19,FIRMWARE,7.0,1,33.394792371259655,0.011294335309559055
20,임베디드 시스템,6.0,0,32.782990830153665,0.011087420061476757
21,UI,6.0,0,32.782990830153665,0.011087420061476757
22,솔루션,14.0,22,32.596726247350446,0.011024424171845617
23,프로젝트,10.0,9,31.61246712031565,0.010691541353212134
24,자격,13.0,20,31.45102177492843,0.010636939490601361
25,소통,8.0,4,30.83515114073208,0.010428648048852174
26,제어,8.0,7,27.075122106766194,0.009156981849788267
27,연구,6.0,2,26.191317098145003,0.008858073265340048
28,업무,25.0,88,24.379885882336755,0.008245435482954911
29,드라이,5.0,1,23.853423122328326,0.008067382363970754
30,지원,13.0,41,22.440108427649143,0.007589390170392349
31,프로그램,9.0,19,22.212895783244573,0.007512545380823142
32,IT,6.0,5,22.03243401478533,0.007451512040628196
33,개발 경험자,4.0,0,21.85532722010244,0.007391613374317836
34,수행,6.0,12,17.39329468538444,0.005882525039555842
35,프로그램 개발,5.0,7,16.921951316728872,0.005723113656117668
36,AR,12.0,59,16.433846913642114,0.005558033582157439
37,C언어,3.0,0,16.391495415076832,0.005543710030738378
38,디버깅,3.0,0,16.391495415076832,0.005543710030738378
39,CI,3.0,0,16.391495415076832,0.005543710030738378
40,검증,8.0,30,16.23875680432371,0.005492052842234741
41,C#,4.0,4,15.417575570366038,0.005214324024426087
42,제품,5.0,10,15.329682661136196,0.005184598072632812
43,채용,5.0,11,14.894625776188049,0.00503745901326362
44,협업,8.0,37,14.609965162393792,0.004941184947958031
45,환경,4.0,7,13.537561053383095,0.004578490924894134
46,학력,5.0,17,12.867300235647228,0.004351804370409573
47,모집,7.0,42,11.918421825324334,0.0040308875395742546
48,경력자,6.0,32,11.80394546135478,0.003992170891022668
49,3D,5.0,23,11.428889873388322,0.003865324659337077
50,CE,3.0,5,11.016217007392664,0.003725756020314097
51,GIT,2.0,0,10.92766361005122,0.003695806687158918
52,JIRA,2.0,0,10.92766361005122,0.003695806687158918
53,WIKI,2.0,0,10.92766361005122,0.003695806687158918
54,임베디드 시스템 개발,2.0,0,10.92766361005122,0.003695806687158918
55,스마트팜,2.0,0,10.92766361005122,0.003695806687158918
56,시스템공학,2.0,0,10.92766361005122,0.003695806687158918
57,CAN,2.0,0,10.92766361005122,0.003695806687158918
58,AZURE,2.0,0,10.92766361005122,0.003695806687158918
59,아두이노,2.0,0,10.92766361005122,0.003695806687158918
60,테스트,3.0,8,9.79982168306817,0.0033143632346016687
61,시험,4.0,20,9.677237469208748,0.0032729044586465726
62,C++ 언어,2.0,1,9.54136924893133,0.0032269529455883016
63,FIRMWARE 개발,2.0,1,9.54136924893133,0.0032269529455883016
64,SPI,2.0,1,9.54136924893133,0.0032269529455883016
65,전자공학,2.0,1,9.54136924893133,0.0032269529455883016
66,컴퓨터,5.0,36,9.264569461906929,0.0031333374628653523
67,AS,3.0,10,9.19780959668172,0.0031107588435796882
68,팀워크,2.0,2,8.730439032715001,0.002952691088446682
69,차량,3.0,13,8.474323426231056,0.0028660711296973583
70,분석,5.0,43,8.398210855536744,0.002840329364779727
71,라즈베리파이,2.0,3,8.15507488781144,0.0027580992040176842
72,최적화,2.0,3,8.15507488781144,0.0027580992040176842
73,성실,3.0,16,7.891855382908181,0.0026690766607617464
74,급여,3.0,17,7.720380141388336,0.0026110826222457435
75,2D,2.0,4,7.708787785183019,0.0026071620122130436
76,기타,3.0,20,7.257928101906561,0.0024546783439849296
77,자동화,2.0,6,7.035843311940593,0.002379567828035522
78,경력 무관,2.0,6,7.035843311940593,0.002379567828035522
79,PC,5.0,60,6.764789704261494,0.0022878957404249968
80,기업,7.0,94,6.369684393975485,0.0021542685626498763
81,개인,2.0,10,6.131873064454479,0.002073839229053125
82,기계,2.0,11,5.957850310475219,0.002014983605305448
83,윈도우,2.0,12,5.797764895128147,0.0019608416798519474
84,교육,2.0,13,5.649548950820703,0.0019107140864649053
85,인사,2.0,14,5.5115632078468,0.0018640464135008074
86,인터칩 통신,1.0,0,5.4638318050256105,0.0018479033435794593
87,펌웨어 검증하기,1.0,0,5.4638318050256105,0.0018479033435794593
88,미들웨어 설계하기,1.0,0,5.4638318050256105,0.0018479033435794593
89,임베디드 소프트 설계,1.0,0,5.4638318050256105,0.0018479033435794593
90,W 개발자,1.0,0,5.4638318050256105,0.0018479033435794593
91,모듈 구현하기,1.0,0,5.4638318050256105,0.0018479033435794593
92,미들웨어 검증하기,1.0,0,5.4638318050256105,0.0018479033435794593
93,네트워크 구현하기,1.0,0,5.4638318050256105,0.0018479033435794593
94,ARM,1.0,0,5.4638318050256105,0.0018479033435794593
95,미들웨어 구현하기,1.0,0,5.4638318050256105,0.0018479033435794593
96,DSP,1.0,0,5.4638318050256105,0.0018479033435794593
97,네트워크,1.0,0,5.4638318050256105,0.0018479033435794593
98,MFC,1.0,0,5.4638318050256105,0.0018479033435794593
99,소프트웨어 통합하기,1.0,0,5.4638318050256105,0.0018479033435794593
100,납땜,1.0,0,5.4638318050256105,0.0018479033435794593
101,소프트 평가,1.0,0,5.4638318050256105,0.0018479033435794593
102,WINDOWS,1.0,0,5.4638318050256105,0.0018479033435794593
103,펌웨어 설계하기,1.0,0,5.4638318050256105,0.0018479033435794593
104,임베디드 소프트웨어 설계 경험자 우대,1.0,0,5.4638318050256105,0.0018479033435794593
105,컨테이너 기술,1.0,0,5.4638318050256105,0.0018479033435794593
106,12C,1.0,0,5.4638318050256105,0.0018479033435794593
107,응용 소프트웨어,1.0,0,5.4638318050256105,0.0018479033435794593
108,어플 개발자,1.0,0,5.4638318050256105,0.0018479033435794593
109,테스트 자동화 프로그램 개발하기,1.0,0,5.4638318050256105,0.0018479033435794593
110,WPF,1.0,0,5.4638318050256105,0.0018479033435794593
