idx,skill,tf,df,tfidf,pr
0,채용,64.0,11,190.65120993520705,0.0600813177826873
1,행정,30.0,6,105.5376496791089,0.03325885563780795
2,지원,55.0,41,94.93892027082327,0.029918800099275916
3,접수,42.0,25,92.64088121417338,0.02919460215221577
4,자격,33.0,20,79.83720912097218,0.025159686810852972
5,서류,44.0,41,75.95113621665863,0.023935040079420735
6,업무,57.0,88,55.58613981172781,0.01751726900383323
7,발표,10.0,0,54.6383180502561,0.017218574962123864
8,경력,21.0,20,50.80549671334593,0.016010709788724622
9,교무,9.0,0,49.1744862452305,0.015496717465911478
10,교육,17.0,13,48.02116608197598,0.015133263201670381
11,계약,18.0,19,44.425791566489146,0.014000226391223952
12,인원,13.0,10,39.85717491895412,0.012560484630754074
13,연구,9.0,2,39.2869756472175,0.012380793541165357
14,기타,16.0,20,38.70894987683499,0.012198636029504472
15,보수,8.0,1,38.16547699572532,0.012027367423932444
16,공무,13.0,12,37.68547181833296,0.011876099862556637
17,제출,34.0,81,35.941826963886136,0.011326612237297034
18,평가,12.0,15,32.29491699342995,0.010177334679948753
19,관리,26.0,69,31.59875063738253,0.00995794665675438
20,행정업무,8.0,6,28.143373247762373,0.00886902817008212
21,C,19.0,53,28.02210741076538,0.008830812775114126
22,홈페이지,7.0,4,26.980757248140566,0.008502644440567612
23,학력,10.0,17,25.734600471294456,0.008109933891590843
24,심사,7.0,6,24.625451591792075,0.007760399648821854
25,모집,14.0,42,23.836843650648667,0.007511879829126558
26,엑셀,9.0,16,23.675566148724545,0.007461055263955457
27,사무,12.0,33,23.249655364913384,0.007326834866623972
28,컴퓨터,12.0,36,22.234966708576625,0.007007068568615292
29,기술자문,4.0,0,21.85532722010244,0.006887429984849544
30,학교 행정,4.0,0,21.85532722010244,0.006887429984849544
31,외국어,4.0,0,21.85532722010244,0.006887429984849544
32,학사,5.0,2,21.8260975817875,0.0068782186339807535
33,파워포인트,6.0,6,21.10752993582178,0.0066517711275615905
34,AI,7.0,11,20.852476086663263,0.00657139413248142
35,자격증,13.0,47,20.704200323530348,0.006524666900866753
36,경험,9.0,24,20.204603821416683,0.006367225381262386
37,기술,7.0,13,19.773421327872462,0.006231343671276039
38,개인,6.0,10,18.39561919336344,0.005797146752655726
39,자가,5.0,5,18.360361678987772,0.005786035792876598
40,한글,9.0,30,18.26860140486417,0.005757118702912573
41,교육원,5.0,6,17.589608279851483,0.005543142606301325
42,전자,5.0,6,17.589608279851483,0.005543142606301325
43,수행,6.0,12,17.39329468538444,0.005481276859641524
44,운영,12.0,58,16.635532333438686,0.005242477637299941
45,대학행정,3.0,0,16.391495415076832,0.00516557248863716
46,UI,3.0,0,16.391495415076832,0.00516557248863716
47,POS,4.0,3,16.31014977562288,0.005139937439082898
48,행정 업무,5.0,9,15.806233560157825,0.004981134616444141
49,경력자,8.0,32,15.73859394847304,0.004959818848211083
50,협의,5.0,10,15.329682661136196,0.004830955627213104
51,이메일,8.0,36,14.823311139051084,0.0046713790457435286
52,프로그램,6.0,19,14.808597188829715,0.004666742130407984
53,워드,4.0,6,14.071686623881186,0.00443451408504106
54,근무시간,6.0,28,12.579215850234815,0.003964180794928215
55,국제,3.0,3,12.23261233171716,0.003854953079312174
56,시설관리,3.0,3,12.23261233171716,0.003854953079312174
57,컴퓨터활용능력,3.0,3,12.23261233171716,0.003854953079312174
58,확정,3.0,4,11.563181677774528,0.003643990474528977
59,협력,6.0,34,11.450902461217176,0.0036086070993452263
60,자문,5.0,25,11.02867633502064,0.0034755478752637823
61,한국어,2.0,0,10.92766361005122,0.003443714992424772
62,프로그램 자격증,2.0,0,10.92766361005122,0.003443714992424772
63,AE,2.0,0,10.92766361005122,0.003443714992424772
64,컴퓨터 관련,2.0,0,10.92766361005122,0.003443714992424772
65,컴퓨터활용,3.0,6,10.55376496791089,0.0033258855637807953
66,급여,4.0,17,10.293840188517782,0.003243973556636337
67,계획,4.0,19,9.872398125886477,0.0031111614202719894
68,연구관리,2.0,1,9.54136924893133,0.003006841855983111
69,E-MAIL,2.0,1,9.54136924893133,0.003006841855983111
70,수학,3.0,10,9.19780959668172,0.002898573376327863
71,가공,3.0,10,9.19780959668172,0.002898573376327863
72,부품,3.0,10,9.19780959668172,0.002898573376327863
73,기계,3.0,11,8.936775465712829,0.0028163117710634667
74,복무,2.0,2,8.730439032715001,0.0027512874535923016
75,컴퓨터 활용능력 우수자,2.0,2,8.730439032715001,0.0027512874535923016
76,오피스,2.0,2,8.730439032715001,0.0027512874535923016
77,문서,3.0,12,8.69664734269222,0.002740638429820762
78,시설,5.0,42,8.513158446660238,0.0026828142246880563
79,법인,3.0,15,8.073729248357488,0.0025443336699871883
80,회계,3.0,15,8.073729248357488,0.0025443336699871883
81,관련 업무,5.0,46,8.068421016577757,0.0025426608478711864
82,성실,3.0,16,7.891855382908181,0.0024870184213184854
83,전기,5.0,49,7.75904399798732,0.0024451645929305047
84,전산,3.0,18,7.55817847757751,0.002381864364374766
85,스캔,2.0,5,7.34414467159511,0.00231441431715064
86,진단,2.0,5,7.34414467159511,0.00231441431715064
87,디자인,2.0,5,7.34414467159511,0.00231441431715064
88,NAVER,2.0,5,7.34414467159511,0.00231441431715064
89,IT,2.0,5,7.34414467159511,0.00231441431715064
90,경력자 우대,4.0,37,7.304982581196897,0.002302072879616364
91,시험,3.0,20,7.257928101906561,0.0022872442555320885
92,비서,2.0,6,7.035843311940593,0.00221725704252053
93,컴퓨터 활용,4.0,41,6.904648746968967,0.002175912734492794
94,정규직,4.0,44,6.628677261021161,0.0020889438107087517
95,기획,2.0,8,6.533214455378781,0.00205885991475983
96,등록,2.0,9,6.322493424063129,0.0019924538465776564
97,상담,2.0,9,6.322493424063129,0.0019924538465776564
98,검사,2.0,10,6.131873064454479,0.0019323822508852417
99,학생,3.0,30,6.089533801621391,0.0019190395676375246
100,선발,3.0,30,6.089533801621391,0.0019190395676375246
101,사무직,4.0,51,6.050352345776731,0.0019066920273277024
102,취업지원,2.0,12,5.797764895128147,0.0018270922865471747
103,컴퓨터 활용능력,2.0,13,5.649548950820703,0.0017803839060788684
104,유경험자,4.0,57,5.613555177916763,0.0017690409237354863
105,직원,12.0,147,5.59943437513794,0.0017645909313153518
106,청구,2.0,14,5.5115632078468,0.0017368994441868469
107,안내,2.0,14,5.5115632078468,0.0017368994441868469
108,인사,2.0,14,5.5115632078468,0.0017368994441868469
109,학교 환경,1.0,0,5.4638318050256105,0.0017218574962123863
110,자문 위원 매칭,1.0,0,5.4638318050256105,0.0017218574962123863
111,특강 운영,1.0,0,5.4638318050256105,0.0017218574962123863
112,JSP,1.0,0,5.4638318050256105,0.0017218574962123863
113,기업 기술자문 신청접수 관리,1.0,0,5.4638318050256105,0.0017218574962123863
114,웹프로그래밍,1.0,0,5.4638318050256105,0.0017218574962123863
115,AEO,1.0,0,5.4638318050256105,0.0017218574962123863
116,과제관리,1.0,0,5.4638318050256105,0.0017218574962123863
117,행정 업무 전담,1.0,0,5.4638318050256105,0.0017218574962123863
118,정부 과제 관리,1.0,0,5.4638318050256105,0.0017218574962123863
119,기타 업무 분장,1.0,0,5.4638318050256105,0.0017218574962123863
120,해당업무 경험자,1.0,0,5.4638318050256105,0.0017218574962123863
121,국고사업,1.0,0,5.4638318050256105,0.0017218574962123863
122,산학협력단 회계업무 경력,1.0,0,5.4638318050256105,0.0017218574962123863
123,CAN,1.0,0,5.4638318050256105,0.0017218574962123863
124,중국어,1.0,0,5.4638318050256105,0.0017218574962123863
125,영어 회화,1.0,0,5.4638318050256105,0.0017218574962123863
126,컴퓨터 관련 학과,1.0,0,5.4638318050256105,0.0017218574962123863
127,내부 회의 준비,1.0,0,5.4638318050256105,0.0017218574962123863
128,전기기사,1.0,0,5.4638318050256105,0.0017218574962123863
129,정보처리기사,1.0,0,5.4638318050256105,0.0017218574962123863
130,JAVA,1.0,0,5.4638318050256105,0.0017218574962123863
131,행정 관련 업무,1.0,0,5.4638318050256105,0.0017218574962123863
132,홍보,2.0,15,5.382486165571658,0.0016962224466581255
133,영어,4.0,63,5.2197948866637525,0.0016449523475496036
134,프로그램 운영,2.0,17,5.146920094258891,0.0016219867783181686
135,공정,2.0,17,5.146920094258891,0.0016219867783181686
136,관련 자격증 소지자,3.0,42,5.107895067996143,0.0016096885348128337
137,연구시설 지원,1.0,1,4.770684624465665,0.0015034209279915554
138,산학 협력관,1.0,1,4.770684624465665,0.0015034209279915554
139,대학행정업무,1.0,1,4.770684624465665,0.0015034209279915554
140,사업비 정산,1.0,1,4.770684624465665,0.0015034209279915554
141,비교과 관리,1.0,1,4.770684624465665,0.0015034209279915554
142,성과 관리,1.0,1,4.770684624465665,0.0015034209279915554
143,예산 관리,1.0,1,4.770684624465665,0.0015034209279915554
144,간호학,1.0,1,4.770684624465665,0.0015034209279915554
145,관련업무 경력자,1.0,1,4.770684624465665,0.0015034209279915554
146,인력채용,1.0,1,4.770684624465665,0.0015034209279915554
147,컴퓨터 활용 능력,1.0,1,4.770684624465665,0.0015034209279915554
148,컴퓨터 관련 자격증,1.0,1,4.770684624465665,0.0015034209279915554
149,이메일 접수,1.0,1,4.770684624465665,0.0015034209279915554
150,스케줄 관리,1.0,1,4.770684624465665,0.0015034209279915554
151,4대보험,2.0,23,4.571555949355329,0.001440668044267316
152,해외,3.0,51,4.5377642593325485,0.0014300190204957768
153,면허,2.0,25,4.411470534008256,0.001390219150105513
154,대외활동,1.0,2,4.3652195163575005,0.0013756437267961508
155,캠프,1.0,2,4.3652195163575005,0.0013756437267961508
156,기술직,1.0,2,4.3652195163575005,0.0013756437267961508
157,연구과제,1.0,2,4.3652195163575005,0.0013756437267961508
158,재단,1.0,2,4.3652195163575005,0.0013756437267961508
159,매칭,1.0,2,4.3652195163575005,0.0013756437267961508
160,이미지,1.0,2,4.3652195163575005,0.0013756437267961508
161,회의,1.0,2,4.3652195163575005,0.0013756437267961508
162,조직,1.0,2,4.3652195163575005,0.0013756437267961508
163,산업기사 자격,1.0,2,4.3652195163575005,0.0013756437267961508
164,운용,1.0,2,4.3652195163575005,0.0013756437267961508
165,인원 채용,1.0,3,4.07753744390572,0.0012849843597707246
166,사업 기획,1.0,3,4.07753744390572,0.0012849843597707246
167,데이터 관리,1.0,3,4.07753744390572,0.0012849843597707246
168,유선,1.0,3,4.07753744390572,0.0012849843597707246
169,관리 업무,4.0,88,3.9007817411738808,0.0012292820353567177
170,편집,1.0,4,3.8543938925915096,0.001214663491509659
171,예산,1.0,4,3.8543938925915096,0.001214663491509659
172,소통,1.0,4,3.8543938925915096,0.001214663491509659
173,안전관리,1.0,4,3.8543938925915096,0.001214663491509659
174,인근거주자,1.0,4,3.8543938925915096,0.001214663491509659
175,원사,2.0,35,3.760625733139,0.0011851136418765066
176,기본급,2.0,36,3.705827784762771,0.0011678447614358821
177,전기산업기사,1.0,5,3.672072335797555,0.00115720715857532
178,OA,1.0,5,3.672072335797555,0.00115720715857532
179,미디어,1.0,6,3.5179216559702966,0.001108628521260265
