idx,skill,tf,df,tfidf,pr
0,기획,97.0,8,316.86090108587086,0.07112703508313643
1,행사,65.0,12,188.42735909166475,0.04229704370216223
2,연출,28.0,0,152.98729054071708,0.034341669623083666
3,실행,20.0,1,95.4136924893133,0.021417893560997624
4,이벤트 행사,15.0,0,81.95747707538416,0.01839732301236625
5,이벤트 기획,15.0,0,81.95747707538416,0.01839732301236625
6,구성하기,15.0,0,81.95747707538416,0.01839732301236625
7,제안,23.0,8,75.13196623685599,0.016865173267135443
8,계획,30.0,19,74.04298594414857,0.016620725500879632
9,운영,39.0,58,54.06548008367573,0.012136294776413778
10,작성,39.0,66,49.10642823975111,0.01102311655444587
11,경력,20.0,20,48.38618734604374,0.010861441197405999
12,전시,13.0,6,45.73298152761386,0.010265865464699547
13,관리,36.0,69,43.75211626714504,0.00982121270888936
14,출하,21.0,32,41.31380911474173,0.009273876140135955
15,현장,33.0,70,39.63801362348172,0.00889770361682829
16,이벤트 디자인 도출하기,7.0,0,38.24682263517927,0.008585417405770917
17,이벤트 제안서 작성,7.0,0,38.24682263517927,0.008585417405770917
18,이벤트 프로그램 개발,7.0,0,38.24682263517927,0.008585417405770917
19,이벤트 특성 파악하기,7.0,0,38.24682263517927,0.008585417405770917
20,이벤트 주제 도출하기,7.0,0,38.24682263517927,0.008585417405770917
21,이벤트 제안서 작성하기,7.0,0,38.24682263517927,0.008585417405770917
22,보고,11.0,7,37.22829289680352,0.008356783957508907
23,디자인,10.0,5,36.72072335797555,0.008242847790971388
24,제작,13.0,14,35.8251608510042,0.008041817289466785
25,이벤트 전략과 방향 도출하기,7.0,1,33.394792371259655,0.007496262746349167
26,이벤트 입찰 프레젠테이션하기,6.0,0,32.782990830153665,0.007358929204946501
27,프레젠테이션,6.0,0,32.782990830153665,0.007358929204946501
28,행사기획,6.0,0,32.782990830153665,0.007358929204946501
29,실행계획,6.0,0,32.782990830153665,0.007358929204946501
30,제안서 작성,8.0,3,32.62029955124576,0.007322409242202763
31,업무,32.0,88,31.20625392939105,0.00700499276004879
32,홍보,11.0,15,29.60367391064412,0.006645255206989015
33,이벤트 운영매뉴얼 작성하기,5.0,0,27.31915902512805,0.0061324410041220835
34,이벤트 결과보고서 작성하기,5.0,0,27.31915902512805,0.0061324410041220835
35,이벤트 연출안 보고·작성하기,5.0,0,27.31915902512805,0.0061324410041220835
36,결과보고서 작성,5.0,0,27.31915902512805,0.0061324410041220835
37,이벤트 무대,5.0,0,27.31915902512805,0.0061324410041220835
38,이벤트 리허설 진행하기,5.0,0,27.31915902512805,0.0061324410041220835
39,시스템 계획하기,5.0,0,27.31915902512805,0.0061324410041220835
40,이벤트 행사장 철수하기,5.0,0,27.31915902512805,0.0061324410041220835
41,이벤트 기본계획 수립하기,5.0,0,27.31915902512805,0.0061324410041220835
42,이벤트 행사장 조성하기,5.0,0,27.31915902512805,0.0061324410041220835
43,이벤트 실행하기,5.0,0,27.31915902512805,0.0061324410041220835
44,이벤트 연출안 구성하기,5.0,0,27.31915902512805,0.0061324410041220835
45,문화,24.0,77,26.57095148006444,0.005964487860882159
46,섭외,6.0,2,26.191317098145003,0.005879269811230047
47,회의,6.0,2,26.191317098145003,0.005879269811230047
48,지원,15.0,41,25.892432801133623,0.005812178056436464
49,입찰,7.0,5,25.70450635058289,0.005769993453679973
50,프로그램,10.0,19,24.680995314716192,0.005540241833626545
51,이벤트 실행계획 작성하기,5.0,1,23.853423122328326,0.005354473390249406
52,PPT,5.0,1,23.853423122328326,0.005354473390249406
53,프로그램 개발,7.0,7,23.69073184342042,0.005317953427505668
54,확정,6.0,4,23.126363355549056,0.005191267373470354
55,프로젝트,7.0,9,22.128726984220958,0.004967323942960332
56,C,15.0,53,22.122716376920035,0.004965974717874818
57,진행,18.0,69,21.87605813357252,0.00491060635444468
58,특수효과,4.0,0,21.85532722010244,0.004905952803297666
59,행사 운영,4.0,0,21.85532722010244,0.004905952803297666
60,공연,4.0,0,21.85532722010244,0.004905952803297666
61,보고서 작성,5.0,2,21.8260975817875,0.004899391509358372
62,개발,10.0,42,17.026316893320477,0.003821965521330158
63,교육,6.0,13,16.94864685246211,0.0038045306162910394
64,사업운영,3.0,0,16.391495415076832,0.0036794646024732505
65,보고서,5.0,9,15.806233560157825,0.003548088530685951
66,파워포인트,4.0,6,14.071686623881186,0.0031587278352921684
67,서류,8.0,41,13.809297493937931,0.003099828296766114
68,예술,3.0,2,13.0956585490725,0.002939634905615023
