idx,skill,tf,df,tfidf,pr
0,사업계획,2.0,1,9.54136924893133,0.02082792529864368
1,급여,3.0,17,7.720380141388336,0.016852874746460376
2,협의,2.0,10,6.131873064454479,0.013385310933389112
3,문서,2.0,12,5.797764895128147,0.01265598374660459
4,사업계획서작성,1.0,0,5.4638318050256105,0.011927038741548856
5,W4C,1.0,0,5.4638318050256105,0.011927038741548856
6,작성,4.0,66,5.036556742538576,0.01099433685660189
7,계획,2.0,19,4.936199062943238,0.010775265337701076
8,경력,2.0,20,4.838618734604374,0.01056225651934027
9,정부지원사업,1.0,1,4.770684624465665,0.01041396264932184
10,유관업무 경력,1.0,1,4.770684624465665,0.01041396264932184
11,PPT,1.0,1,4.770684624465665,0.01041396264932184
12,경력자,2.0,32,3.93464848711826,0.008588973199554066
13,원사,2.0,35,3.760625733139,0.008209097646519553
14,문서 작성,1.0,6,3.5179216559702966,0.007679297126587659
15,참여,1.0,6,3.5179216559702966,0.007679297126587659
16,지원,2.0,41,3.4523243734844837,0.007536104334886241
17,기획,1.0,8,3.2666072276893905,0.007130701007713806
18,수행,1.0,12,2.8988824475640733,0.006327991873302295
19,부과,1.0,13,2.824774475410352,0.006166221034360646
20,유관업무 경력자,1.0,13,2.824774475410352,0.006166221034360646
21,조정,1.0,23,2.2857779746776643,0.004989641597950286
22,업무,2.0,88,1.9503908705869404,0.0042575226150367565
23,경력자 우대,1.0,37,1.826245645299224,0.003986525087216999
24,팀원,1.0,39,1.7749523509116738,0.0038745565766235227
25,문서작성,1.0,40,1.7502597383213023,0.003820654890498315
26,모집,1.0,42,1.7026316893320477,0.0037166872711150234
27,C,1.0,53,1.4748477584613358,0.0032194560485692674
28,법인세 관리,0.01,0,0.0546383180502561,0.00011927038741548855
29,소모품 수입,0.01,0,0.0546383180502561,0.00011927038741548855
30,영문 서신 작성,0.01,0,0.0546383180502561,0.00011927038741548855
31,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00011927038741548855
32,유해화학물질관리자,0.01,0,0.0546383180502561,0.00011927038741548855
33,가구 설치,0.01,0,0.0546383180502561,0.00011927038741548855
34,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00011927038741548855
35,타이어 탈착,0.01,0,0.0546383180502561,0.00011927038741548855
36,현장 조율,0.01,0,0.0546383180502561,0.00011927038741548855
37,경영계획 분석,0.01,0,0.0546383180502561,0.00011927038741548855
38,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00011927038741548855
39,납품계획 세우기,0.01,0,0.0546383180502561,0.00011927038741548855
40,불량재고 처리하기,0.01,0,0.0546383180502561,0.00011927038741548855
41,매뉴얼 업무,0.01,0,0.0546383180502561,0.00011927038741548855
42,건축업무 경험,0.01,0,0.0546383180502561,0.00011927038741548855
43,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00011927038741548855
44,평가계획 수립하기,0.01,0,0.0546383180502561,0.00011927038741548855
45,현장상황파악,0.01,0,0.0546383180502561,0.00011927038741548855
46,인허가관리,0.01,0,0.0546383180502561,0.00011927038741548855
47,사건 수임,0.01,0,0.0546383180502561,0.00011927038741548855
48,PF심의자료 작성,0.01,0,0.0546383180502561,0.00011927038741548855
49,디지털 교육 이해,0.01,0,0.0546383180502561,0.00011927038741548855
50,여행상품개발,0.01,0,0.0546383180502561,0.00011927038741548855
51,주차매출 관리,0.01,0,0.0546383180502561,0.00011927038741548855
52,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,0.00011927038741548855
53,어도비 포토샵,0.01,0,0.0546383180502561,0.00011927038741548855
54,데미지 관리,0.01,0,0.0546383180502561,0.00011927038741548855
55,기관 소통 업무,0.01,0,0.0546383180502561,0.00011927038741548855
56,비디오메타 사용,0.01,0,0.0546383180502561,0.00011927038741548855
57,소프트웨어 테스트하기,0.01,0,0.0546383180502561,0.00011927038741548855
58,자습감독,0.01,0,0.0546383180502561,0.00011927038741548855
59,JLPT 2급이상,0.01,0,0.0546383180502561,0.00011927038741548855
60,한자 관련 자격증,0.01,0,0.0546383180502561,0.00011927038741548855
61,기성취합,0.01,0,0.0546383180502561,0.00011927038741548855
62,KUBERNETES,0.01,0,0.0546383180502561,0.00011927038741548855
63,프로젝트 코디네이팅,0.01,0,0.0546383180502561,0.00011927038741548855
64,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,0.00011927038741548855
65,경비지도사 직무교육,0.01,0,0.0546383180502561,0.00011927038741548855
66,데이터 마이닝,0.01,0,0.0546383180502561,0.00011927038741548855
67,채권현황 파악,0.01,0,0.0546383180502561,0.00011927038741548855
68,제품표준서 작성,0.01,0,0.0546383180502561,0.00011927038741548855
69,일용직 투입,0.01,0,0.0546383180502561,0.00011927038741548855
70,영업 손익관리,0.01,0,0.0546383180502561,0.00011927038741548855
71,불꽃놀이 연출,0.01,0,0.0546383180502561,0.00011927038741548855
72,생산검토,0.01,0,0.0546383180502561,0.00011927038741548855
73,화학사고대응,0.01,0,0.0546383180502561,0.00011927038741548855
74,나라사업 발굴,0.01,0,0.0546383180502561,0.00011927038741548855
75,영상 프로그램,0.01,0,0.0546383180502561,0.00011927038741548855
76,탱고 시스템 작업 등록,0.01,0,0.0546383180502561,0.00011927038741548855
77,운영 원칙 이해,0.01,0,0.0546383180502561,0.00011927038741548855
78,피트니스 매장관리 경험자,0.01,0,0.0546383180502561,0.00011927038741548855
79,법규 검토,0.01,0,0.0546383180502561,0.00011927038741548855
80,분양 타당성 분석하기,0.01,0,0.0546383180502561,0.00011927038741548855
81,각종 사무관리,0.01,0,0.0546383180502561,0.00011927038741548855
82,공공기관 정보화 사업 감리,0.01,0,0.0546383180502561,0.00011927038741548855
83,가격별 상품 구성,0.01,0,0.0546383180502561,0.00011927038741548855
84,해당 문장에서는 생산관리사무원,0.01,0,0.0546383180502561,0.00011927038741548855
85,국제계약규범 활용하기,0.01,0,0.0546383180502561,0.00011927038741548855
86,수입신고서 작성,0.01,0,0.0546383180502561,0.00011927038741548855
87,근무표관리,0.01,0,0.0546383180502561,0.00011927038741548855
88,직업훈련 평가,0.01,0,0.0546383180502561,0.00011927038741548855
89,제품 기술정보,0.01,0,0.0546383180502561,0.00011927038741548855
90,지장물 조서 작성,0.01,0,0.0546383180502561,0.00011927038741548855
91,의료 비품 관리,0.01,0,0.0546383180502561,0.00011927038741548855
92,어도브 프로그램,0.01,0,0.0546383180502561,0.00011927038741548855
93,농산식품 매장 관리하기,0.01,0,0.0546383180502561,0.00011927038741548855
94,UX 콘셉트 디자인,0.01,0,0.0546383180502561,0.00011927038741548855
95,에어컨 조립,0.01,0,0.0546383180502561,0.00011927038741548855
96,고정 설치 방식 결정하기,0.01,0,0.0546383180502561,0.00011927038741548855
97,서버 기본 설치,0.01,0,0.0546383180502561,0.00011927038741548855
98,CLAIM 업무,0.01,0,0.0546383180502561,0.00011927038741548855
99,PPT 활용능력,0.01,0,0.0546383180502561,0.00011927038741548855
100,차량소지자가 우대사항으로 언급되어 있습니다.,0.01,0,0.0546383180502561,0.00011927038741548855
101,중량 점검표,0.01,0,0.0546383180502561,0.00011927038741548855
102,신속하고 정확한 업무 처리 능력,0.01,0,0.0546383180502561,0.00011927038741548855
103,관련업계 경험,0.01,0,0.0546383180502561,0.00011927038741548855
104,대표 업무,0.01,0,0.0546383180502561,0.00011927038741548855
105,건설관련 금속구조물 제조,0.01,0,0.0546383180502561,0.00011927038741548855
106,농업법인 상담,0.01,0,0.0546383180502561,0.00011927038741548855
107,온라인 MD 경력,0.01,0,0.0546383180502561,0.00011927038741548855
108,GUI 프로그래밍,0.01,0,0.0546383180502561,0.00011927038741548855
109,POWER POINT 등 활용능력,0.01,0,0.0546383180502561,0.00011927038741548855
110,인터칩 통신,0.01,0,0.0546383180502561,0.00011927038741548855
111,품질 개선방법 파악,0.01,0,0.0546383180502561,0.00011927038741548855
112,부동산감정평가업무 관련 사무직,0.01,0,0.0546383180502561,0.00011927038741548855
113,계획 수립과 프로젝트 관리 역량,0.01,0,0.0546383180502561,0.00011927038741548855
114,유통사 파트너 시스템,0.01,0,0.0546383180502561,0.00011927038741548855
115,입출납업무,0.01,0,0.0546383180502561,0.00011927038741548855
116,PPT 활용 등이 능통한 자,0.01,0,0.0546383180502561,0.00011927038741548855
117,이커머스 시장 이해도가 높고,0.01,0,0.0546383180502561,0.00011927038741548855
