idx,skill,tf,df,tfidf,pr
0,관리,14.0,69,17.014711881667516,0.024140079259560993
1,홈페이지,4.0,4,15.417575570366038,0.02187409924113461
2,홍보,5.0,15,13.456215413929144,0.019091366864458517
3,판매,4.0,13,11.299097901641408,0.016030898483861432
4,포토샵,3.0,5,11.016217007392664,0.01562955362091739
5,오픈마켓,2.0,1,9.54136924893133,0.013537073769794974
6,협의,3.0,10,9.19780959668172,0.013049639289953521
7,경험,4.0,24,8.979823920629636,0.01274036626000489
8,온라인,4.0,34,7.633934974144785,0.01083085018540609
9,4대보험,3.0,23,6.857333924032993,0.009729026596905825
10,업무,7.0,88,6.826368047054292,0.009685092927631467
11,홈페이지 관리,2.0,9,6.322493424063129,0.008970207279230116
12,쇼핑몰,2.0,9,6.322493424063129,0.008970207279230116
13,상담,2.0,9,6.322493424063129,0.008970207279230116
14,사무,3.0,33,5.812413841228346,0.008246518177472096
15,문서,2.0,12,5.797764895128147,0.008225734591926409
16,교육,2.0,13,5.649548950820703,0.008015449241930714
17,제작,2.0,14,5.5115632078468,0.00781967826471726
18,교육생 상담,1.0,0,5.4638318050256105,0.007751958055566082
19,회사 홈페이지 제작,1.0,0,5.4638318050256105,0.007751958055566082
20,PC활용,1.0,0,5.4638318050256105,0.007751958055566082
21,엑셀,2.0,16,5.261236921938788,0.007464521126318587
22,보조,2.0,16,5.261236921938788,0.007464521126318587
23,경력,2.0,20,4.838618734604374,0.006864920227417858
24,SNS홍보,1.0,1,4.770684624465665,0.006768536884897487
25,영업직,1.0,1,4.770684624465665,0.006768536884897487
26,PPT,1.0,1,4.770684624465665,0.006768536884897487
27,C,3.0,53,4.424543275384007,0.006277439553367258
28,AUTO CAD,1.0,2,4.3652195163575005,0.00619327237764106
29,SNS,1.0,2,4.3652195163575005,0.00619327237764106
30,장부관리,1.0,3,4.07753744390572,0.005785115714228893
31,사무행정,1.0,3,4.07753744390572,0.005785115714228893
32,택배업무,1.0,4,3.8543938925915096,0.0054685248102836525
33,편집,1.0,4,3.8543938925915096,0.0054685248102836525
34,문서관리,1.0,4,3.8543938925915096,0.0054685248102836525
35,촬영,1.0,5,3.672072335797555,0.005209851206972465
36,업무 보조,1.0,5,3.672072335797555,0.005209851206972465
37,응대,2.0,37,3.652491290598448,0.005182070073422928
38,출장,1.0,6,3.5179216559702966,0.004991145791633952
39,행정,1.0,6,3.5179216559702966,0.004991145791633952
40,지원,2.0,41,3.4523243734844837,0.00489807788608067
41,모집,2.0,42,3.405263378664096,0.004831308836278422
42,CAD,1.0,7,3.3843902633457743,0.004801694543560298
43,사무실,1.0,7,3.3843902633457743,0.004801694543560298
44,정산,1.0,7,3.3843902633457743,0.004801694543560298
45,총괄업무,1.0,8,3.2666072276893905,0.004634586699716036
46,건강보험,1.0,8,3.2666072276893905,0.004634586699716036
47,고객응대,1.0,8,3.2666072276893905,0.004634586699716036
48,프로그램 사용,1.0,9,3.1612467120315646,0.004485103639615058
49,개인,1.0,10,3.0659365322272394,0.0043498797633178396
50,장부,1.0,10,3.0659365322272394,0.0043498797633178396
51,인원,1.0,10,3.0659365322272394,0.0043498797633178396
52,사진촬영,1.0,11,2.9789251552376097,0.00422643003630387
53,인터넷,1.0,11,2.9789251552376097,0.00422643003630387
54,배송,1.0,11,2.9789251552376097,0.00422643003630387
55,보험,6.0,146,2.8403953094812424,0.004029887098660795
56,온라인 판매,1.0,13,2.824774475410352,0.004007724620965358
57,인사,1.0,14,2.7557816039234,0.00390983913235863
58,업무보조,1.0,15,2.691243082785829,0.0038182733728917037
59,영업,1.0,17,2.573460047129445,0.0036511655290474418
60,수정,1.0,18,2.51939282585917,0.003574456207380059
61,프로그램,1.0,19,2.468099531471619,0.0035016824689464636
62,기타,1.0,20,2.419309367302187,0.003432460113708929
63,자격,1.0,20,2.419309367302187,0.003432460113708929
64,일반 사무,1.0,21,2.372789351667294,0.003366458592649245
65,상품,1.0,21,2.372789351667294,0.003366458592649245
66,가구,1.0,23,2.2857779746776643,0.003243008865635275
67,총괄,1.0,23,2.2857779746776643,0.003243008865635275
68,근무시간,1.0,28,2.096535975039136,0.0029745166982519406
69,택배,1.0,30,2.029844600540464,0.002879896520283389
70,한글,1.0,30,2.029844600540464,0.002879896520283389
71,정리,1.0,33,1.9374712804094487,0.0027488393924906987
72,협력,1.0,34,1.9084837435361963,0.0027077125463515223
73,문서작성,1.0,40,1.7502597383213023,0.0024832279912666904
74,서류,1.0,41,1.7261621867422416,0.0024490389430403344
75,관련 업무,1.0,46,1.6136842033155514,0.002289457784466535
76,사무직,1.0,51,1.5125880864441827,0.0021460249546260157
77,운영,1.0,58,1.3862943611198906,0.001966842341337189
78,PC,1.0,60,1.3529579408522987,0.0019195454001320444
79,작성,1.0,66,1.259139185634644,0.0017864375225059923
80,거래처,1.0,71,1.1871656860095547,0.001684323187710253
81,제조,1.0,77,1.1071229783360184,0.0015707604473695878
82,직원,1.0,147,0.4666195312614949,0.0006620289868586209
83,법인세 관리,0.01,0,0.0546383180502561,7.751958055566082e-05
84,소모품 수입,0.01,0,0.0546383180502561,7.751958055566082e-05
85,영문 서신 작성,0.01,0,0.0546383180502561,7.751958055566082e-05
86,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,7.751958055566082e-05
87,유해화학물질관리자,0.01,0,0.0546383180502561,7.751958055566082e-05
88,가구 설치,0.01,0,0.0546383180502561,7.751958055566082e-05
89,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,7.751958055566082e-05
90,타이어 탈착,0.01,0,0.0546383180502561,7.751958055566082e-05
91,현장 조율,0.01,0,0.0546383180502561,7.751958055566082e-05
92,경영계획 분석,0.01,0,0.0546383180502561,7.751958055566082e-05
93,폐기물 관련 업무,0.01,0,0.0546383180502561,7.751958055566082e-05
94,납품계획 세우기,0.01,0,0.0546383180502561,7.751958055566082e-05
95,불량재고 처리하기,0.01,0,0.0546383180502561,7.751958055566082e-05
96,매뉴얼 업무,0.01,0,0.0546383180502561,7.751958055566082e-05
97,건축업무 경험,0.01,0,0.0546383180502561,7.751958055566082e-05
98,UX 시나리오 제작,0.01,0,0.0546383180502561,7.751958055566082e-05
99,평가계획 수립하기,0.01,0,0.0546383180502561,7.751958055566082e-05
100,현장상황파악,0.01,0,0.0546383180502561,7.751958055566082e-05
101,인허가관리,0.01,0,0.0546383180502561,7.751958055566082e-05
102,사건 수임,0.01,0,0.0546383180502561,7.751958055566082e-05
103,PF심의자료 작성,0.01,0,0.0546383180502561,7.751958055566082e-05
104,디지털 교육 이해,0.01,0,0.0546383180502561,7.751958055566082e-05
105,여행상품개발,0.01,0,0.0546383180502561,7.751958055566082e-05
106,주차매출 관리,0.01,0,0.0546383180502561,7.751958055566082e-05
107,행사 이주용역 업체 관리,0.01,0,0.0546383180502561,7.751958055566082e-05
108,어도비 포토샵,0.01,0,0.0546383180502561,7.751958055566082e-05
109,데미지 관리,0.01,0,0.0546383180502561,7.751958055566082e-05
110,기관 소통 업무,0.01,0,0.0546383180502561,7.751958055566082e-05
111,비디오메타 사용,0.01,0,0.0546383180502561,7.751958055566082e-05
112,소프트웨어 테스트하기,0.01,0,0.0546383180502561,7.751958055566082e-05
113,자습감독,0.01,0,0.0546383180502561,7.751958055566082e-05
114,JLPT 2급이상,0.01,0,0.0546383180502561,7.751958055566082e-05
115,한자 관련 자격증,0.01,0,0.0546383180502561,7.751958055566082e-05
116,기성취합,0.01,0,0.0546383180502561,7.751958055566082e-05
117,KUBERNETES,0.01,0,0.0546383180502561,7.751958055566082e-05
118,프로젝트 코디네이팅,0.01,0,0.0546383180502561,7.751958055566082e-05
119,근로기준법에 따른 근로계약서 분석,0.01,0,0.0546383180502561,7.751958055566082e-05
120,경비지도사 직무교육,0.01,0,0.0546383180502561,7.751958055566082e-05
121,데이터 마이닝,0.01,0,0.0546383180502561,7.751958055566082e-05
122,채권현황 파악,0.01,0,0.0546383180502561,7.751958055566082e-05
123,제품표준서 작성,0.01,0,0.0546383180502561,7.751958055566082e-05
124,일용직 투입,0.01,0,0.0546383180502561,7.751958055566082e-05
125,영업 손익관리,0.01,0,0.0546383180502561,7.751958055566082e-05
126,불꽃놀이 연출,0.01,0,0.0546383180502561,7.751958055566082e-05
127,생산검토,0.01,0,0.0546383180502561,7.751958055566082e-05
