idx,skill,tf,df,tfidf,pr
0,화학,6.0,4,23.126363355549056,0.04108551440738497
1,수질,3.0,1,14.312053873396994,0.025426310508678832
2,환경,4.0,7,13.537561053383095,0.02405037277796502
3,대기,3.0,8,9.79982168306817,0.017410031519412745
4,관리,8.0,69,9.72269250381001,0.01727300643004085
5,학사,2.0,2,8.730439032715001,0.015510202496898039
6,대응,2.0,5,7.34414467159511,0.013047358855163015
7,관리자,3.0,23,6.857333924032993,0.012182507357539455
8,검사,2.0,10,6.131873064454479,0.010893678148209613
9,환경기술인,1.0,0,5.4638318050256105,0.00970685865709379
10,지도점검,1.0,0,5.4638318050256105,0.00970685865709379
11,지도조치,1.0,0,5.4638318050256105,0.00970685865709379
12,작업환경측정,1.0,0,5.4638318050256105,0.00970685865709379
13,설치검사,1.0,0,5.4638318050256105,0.00970685865709379
14,폐기물,2.0,19,4.936199062943238,0.00876948418565828
15,생산부직원관리,1.0,1,4.770684624465665,0.008475436836226279
16,정기검사,1.0,1,4.770684624465665,0.008475436836226279
17,위험성평가,1.0,1,4.770684624465665,0.008475436836226279
18,실행,1.0,1,4.770684624465665,0.008475436836226279
19,공장장,1.0,2,4.3652195163575005,0.0077551012484490195
20,안전교육,1.0,3,4.07753744390572,0.0072440150153587676
21,점검,2.0,33,3.8749425608188974,0.006884091803050989
22,생산부,1.0,4,3.8543938925915096,0.006847585734564162
23,안전관리,1.0,4,3.8543938925915096,0.006847585734564162
24,시설,2.0,42,3.405263378664096,0.006049675664698667
25,직원관리,1.0,8,3.2666072276893905,0.005803343839804249
26,공장관리,1.0,8,3.2666072276893905,0.005803343839804249
27,설치,1.0,9,3.1612467120315646,0.005616163913696652
28,측정,1.0,10,3.0659365322272394,0.005446839074104807
29,업무,3.0,88,2.925586305880411,0.005197497612241597
30,교육,1.0,13,2.824774475410352,0.005018398726284734
31,기술,1.0,13,2.824774475410352,0.005018398726284734
32,개선,2.0,57,2.806777588958381,0.004986426066933038
33,안전,2.0,58,2.772588722239781,0.004925687283470044
34,평가,1.0,15,2.691243082785829,0.004781171373623745
35,재고관리,1.0,15,2.691243082785829,0.004781171373623745
36,생산,1.0,16,2.630618460969394,0.004673467722393005
37,재고,1.0,34,1.9084837435361963,0.0033905476246226173
38,관련 업무,1.0,46,1.6136842033155514,0.002866816739190535
39,훈련,1.0,52,1.4935398914734883,0.0026533724211513124
40,운영,1.0,58,1.3862943611198906,0.002462843641735022
41,진행,1.0,69,1.2153365629762511,0.0021591258037551063
42,직원,1.0,147,0.4666195312614949,0.000828980466131581
43,법인세 관리,0.01,0,0.0546383180502561,9.70685865709379e-05
44,소모품 수입,0.01,0,0.0546383180502561,9.70685865709379e-05
45,영문 서신 작성,0.01,0,0.0546383180502561,9.70685865709379e-05
46,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,9.70685865709379e-05
47,유해화학물질관리자,0.01,0,0.0546383180502561,9.70685865709379e-05
48,가구 설치,0.01,0,0.0546383180502561,9.70685865709379e-05
49,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,9.70685865709379e-05
50,타이어 탈착,0.01,0,0.0546383180502561,9.70685865709379e-05
51,현장 조율,0.01,0,0.0546383180502561,9.70685865709379e-05
52,경영계획 분석,0.01,0,0.0546383180502561,9.70685865709379e-05
53,폐기물 관련 업무,0.01,0,0.0546383180502561,9.70685865709379e-05
54,납품계획 세우기,0.01,0,0.0546383180502561,9.70685865709379e-05
55,불량재고 처리하기,0.01,0,0.0546383180502561,9.70685865709379e-05
56,매뉴얼 업무,0.01,0,0.0546383180502561,9.70685865709379e-05
57,건축업무 경험,0.01,0,0.0546383180502561,9.70685865709379e-05
58,UX 시나리오 제작,0.01,0,0.0546383180502561,9.70685865709379e-05
59,평가계획 수립하기,0.01,0,0.0546383180502561,9.70685865709379e-05
60,현장상황파악,0.01,0,0.0546383180502561,9.70685865709379e-05
61,인허가관리,0.01,0,0.0546383180502561,9.70685865709379e-05
