idx,skill,tf,df,tfidf,pr
0,청소,28.0,31,55.946685262324735,0.04469155895926443
1,미화,12.0,7,40.61268316014929,0.032442388953613545
2,환경,10.0,7,33.843902633457745,0.02703532412801129
3,급여,10.0,17,25.734600471294456,0.020557418350403624
4,관리,19.0,69,23.09139469654877,0.01844596194919544
5,근무시간,11.0,28,23.061895725430496,0.018422397460954743
6,인원,7.0,10,21.461555725590674,0.01714400734503711
7,조경,5.0,4,19.271969462957543,0.015394913129820725
8,접수,8.0,25,17.645882136033023,0.014095955429227541
9,업무,18.0,88,17.553517835282463,0.01402217260235639
10,재단,4.0,2,17.460878065430002,0.013948169724135434
11,조경수,3.0,0,16.391495415076832,0.013093921120412397
12,감독,3.0,0,16.391495415076832,0.013093921120412397
13,모집,9.0,42,15.323685203988427,0.012240928619026462
14,정리,7.0,33,13.56229896286614,0.010833890888800747
15,사무실,4.0,7,13.537561053383095,0.010814129651204514
16,특근,3.0,3,12.23261233171716,0.009771705199073057
17,지원,7.0,41,12.083135307195692,0.009652299353612625
18,청소장비 사용 가능자,2.0,0,10.92766361005122,0.008729280746941596
19,환경정비,2.0,0,10.92766361005122,0.008729280746941596
20,경정비,2.0,0,10.92766361005122,0.008729280746941596
21,전자,3.0,6,10.55376496791089,0.00843060151095733
22,현장,8.0,70,9.609215423874357,0.007676072597594124
23,채용,3.0,11,8.936775465712829,0.007138911371762236
24,사무,4.0,33,7.749885121637795,0.006190794793600427
25,정비,2.0,4,7.708787785183019,0.006157965251928291
26,지시,2.0,5,7.34414467159511,0.005866679554954604
27,경력,3.0,20,7.257928101906561,0.005797807683646509
28,전시,2.0,6,7.035843311940593,0.0056204010073048856
29,전화,3.0,24,6.734867940472228,0.0053799746353724795
30,아파트,2.0,9,6.322493424063129,0.005050559944815179
31,기계,2.0,11,5.957850310475219,0.00475927424784149
32,월급,4.0,57,5.613555177916763,0.004484243007939135
33,컴퓨터,3.0,36,5.558741677144156,0.004440456664028742
34,문화,5.0,77,5.535614891680092,0.004421982431082515
35,지게차,2.0,14,5.5115632078468,0.004402769367054412
36,환경미화원,1.0,0,5.4638318050256105,0.004364640373470799
37,청소업무,1.0,0,5.4638318050256105,0.004364640373470799
38,자동차운전면허 1종보통,1.0,0,5.4638318050256105,0.004364640373470799
39,청소 업무,1.0,0,5.4638318050256105,0.004364640373470799
40,화훼류 관리,1.0,0,5.4638318050256105,0.004364640373470799
41,청소 준비하기,1.0,0,5.4638318050256105,0.004364640373470799
42,청결 관리,1.0,0,5.4638318050256105,0.004364640373470799
43,탕비실 정리,1.0,0,5.4638318050256105,0.004364640373470799
44,파지 압축 작업,1.0,0,5.4638318050256105,0.004364640373470799
45,주방 보조업무,1.0,0,5.4638318050256105,0.004364640373470799
