idx,skill,tf,df,tfidf,pr
0,회계,402.0,15,1081.8797192799032,0.06647854271639825
1,관리,299.0,69,363.3856323298991,0.0223290508647742
2,결산,123.0,12,356.562541050381,0.021909790611531595
3,경력,142.0,20,343.5419301569105,0.021109709768855928
4,신고,133.0,17,342.27018626821626,0.021031564593452186
5,업무,349.0,88,340.34320691742107,0.02091315699526676
6,세무,112.0,17,288.2275252784979,0.017710791236591316
7,지원,161.0,41,277.9121120655009,0.01707693737493102
8,재무,69.0,5,253.3729911700313,0.015569075671267566
9,법인,75.0,15,201.8432312089372,0.012402713193357886
10,감사,66.0,12,191.32624153922885,0.011756473011065735
11,더존,63.0,11,187.6722847799694,0.011531947385734685
12,자격,77.0,20,186.2868212822684,0.011446814452126104
13,급여,71.0,17,182.71566334619064,0.011227376587481994
14,채용,60.0,11,178.73550931425655,0.01098280703403303
15,부가세,39.0,3,159.02396031232306,0.009771586388170838
16,서류,88.0,41,151.90227243331725,0.00933397819250888
17,사무,78.0,33,151.122759871937,0.009286079282689055
18,프로그램,61.0,19,150.55407141976875,0.0092511349363943
19,계산,45.0,8,146.99732524602257,0.00903258263503482
20,부가가치세,37.0,4,142.61257402588586,0.008763151693596474
21,작성,112.0,66,141.0235887910801,0.008665512907208954
22,기타,57.0,20,137.90063393622466,0.00847361589313231
23,징수,31.0,3,126.4036607610773,0.007767158411110153
24,경험,53.0,24,118.98266694834268,0.007311158686384405
25,마감,52.0,23,118.86045468323854,0.0073036490777454695
26,법인세,27.0,3,110.09351098545444,0.0067649444225798125
27,예산,27.0,4,104.06863509997076,0.006394732316948778
28,경리,47.0,25,103.669557549194,0.006370210095546822
29,신고하기,20.0,1,95.4136924893133,0.005862909821529851
30,정산,27.0,7,91.37853711033593,0.005614960586094326
31,기장,32.0,13,90.39278321313124,0.005554388711610169
32,인사,32.0,14,88.1850113255488,0.005418727181847505
33,경력자,43.0,32,84.59494247304258,0.005198127293234195
34,총무,49.0,41,84.58194715036984,0.005197328766283355
35,세금계산서,25.0,8,81.66518069223476,0.005018101463908233
36,경영,32.0,18,80.62057042749343,0.004953913026996951
37,4대보험,35.0,23,80.00222911371824,0.004915917648482527
38,프로그램 사용,24.0,9,75.86992108875755,0.004661998649300704
39,운용,17.0,2,74.2087317780775,0.004559923120402195
40,자금,37.0,31,73.9295483823577,0.004542768066132001
41,모집,42.0,42,71.51053095194601,0.004394126076903871
42,대응,18.0,5,66.09730204435598,0.004061498001200234
43,회계감사,17.0,4,65.52469617405566,0.004026312940301082
44,협의,21.0,10,64.38466717677203,0.0039562612838708305
45,원가,29.0,26,62.871853231617145,0.003863303014404535
46,자금관리,13.0,1,62.01890011805365,0.003810891383994403
47,자체기장,14.0,2,61.11307322900501,0.0037552308050371017
48,법인결산,14.0,2,61.11307322900501,0.0037552308050371017
49,원천세,22.0,14,60.6271952863148,0.00372537493752016
50,접수,26.0,25,57.34911694210733,0.0035239460103024976
51,재무제표 작성,12.0,1,57.24821549358798,0.00351774589291791
52,매입,28.0,30,56.83564881513298,0.0034923948016013185
53,회계업무,22.0,18,55.426642168901736,0.0034058152060604035
54,문서,19.0,12,55.07876650371739,0.003384439200155287
55,ERP,17.0,9,53.7411941045366,0.0033022490432546656
56,엑셀,20.0,16,52.61236921938788,0.0032328858487984087
57,회계 업무,19.0,15,51.13361857293075,0.003142020675650664
58,장부,16.0,10,49.05498451563583,0.003014294311520633
