idx,skill,tf,df,tfidf,pr
0,회계,295.0,15,793.9167094218195,0.05488009881836283
1,경력,143.0,20,345.9612395242128,0.023914834877627376
2,업무,333.0,88,324.7400799527256,0.022447906016573912
3,관리,266.0,69,323.2795257516828,0.022346944092065262
4,신고,121.0,17,311.38866570266293,0.021524979310645335
5,지원,161.0,41,277.9121120655009,0.019210886975891933
6,세무,98.0,17,252.19908461868567,0.017433454317712753
7,사무,115.0,33,222.80919724708664,0.015401855909375258
8,결산,75.0,12,217.4161835673055,0.015029059720350952
9,채용,72.0,11,214.4826111771079,0.014826274288637201
10,자격,82.0,20,198.38336811877932,0.013713401817940172
11,부가세,43.0,3,175.33411008794596,0.01212010425484531
12,법인,65.0,15,174.93080038107888,0.012092225163368081
13,급여,67.0,17,172.42182315767286,0.011918790196803615
14,재무,46.0,5,168.91532744668754,0.01167640100302385
15,기타,54.0,20,130.6427058343181,0.009030776806936211
16,계산,38.0,8,124.13107465219684,0.008580655328823225
17,더존,41.0,11,122.135931364742,0.008442739525473962
18,정산,32.0,7,108.30048842706478,0.007486353966882419
19,서류,62.0,41,107.02205557801898,0.0073979813199086955
20,4대보험,46.0,23,105.14578683517256,0.007268282810234795
21,사무실,31.0,7,104.916098163719,0.007252405405417343
22,행정,29.0,6,102.0197280231386,0.007052191607618116
23,자금,48.0,31,95.9086033068424,0.006629755444804614
24,경력자,45.0,32,88.52959096016085,0.006119675581310217
25,경리,38.0,25,83.81794014615686,0.005793979120709873
26,협의,27.0,10,82.78028637013546,0.005722250511031442
27,기장,29.0,13,81.9184597869002,0.005662676090325915
28,세금계산서,25.0,8,81.66518069223476,0.0056451679794889634
29,경험,36.0,24,80.81841528566673,0.005586634674122124
30,프로그램,32.0,19,78.97918500709181,0.005459496476575652
31,경영,31.0,18,78.10117760163426,0.00539880354417742
32,법인세,18.0,3,73.39567399030295,0.0050735320136561755
33,모집,42.0,42,71.51053095194601,0.004943220061528197
34,징수,17.0,3,69.31813654639724,0.004791669124008611
35,보조,26.0,16,68.39607998520424,0.004727931260081746
36,자격증,42.0,47,66.8904933529442,0.004623856434375897
37,세무신고,19.0,6,66.84051146343563,0.004620401398094627
38,인사,24.0,14,66.1387584941616,0.004571892188195412
39,접수,29.0,25,63.96632274311971,0.004421720907910166
40,총무,37.0,41,63.86800090946294,0.004414924336074545
41,감사,22.0,12,63.77541384640961,0.004408524184636279
42,C,43.0,53,63.41845361383744,0.00438384903596476
43,원천세,23.0,14,63.3829768902382,0.004381396680353936
44,전산,25.0,18,62.98482064647924,0.004353873825949532
45,작성,50.0,66,62.9569592817322,0.004351947887834883
46,부가세 신고,15.0,3,61.1630616585858,0.00422794334471348
47,회계업무,24.0,18,60.46542782062008,0.004179718872911551
48,엑셀,22.0,16,57.87360614132667,0.00400055722006917
49,자금관리,12.0,1,57.24821549358798,0.00395732661396066
50,매입,27.0,30,54.80580421459252,0.003788493069137084
51,마감,22.0,23,50.287115442908615,0.003476135257068815
52,사무원,29.0,43,48.70962296211312,0.003367089884671591
53,대응,13.0,5,47.73694036536821,0.003299852457376305
54,행사,16.0,12,46.38211916102517,0.003206199407008203
55,소득세,13.0,6,45.73298152761386,0.003161327272380535
56,근무시간,21.0,28,44.02725547582185,0.0030434176564617895
57,재단,10.0,2,43.652195163575,0.003017491325960516
58,법인결산,10.0,2,43.652195163575,0.003017491325960516
59,전표입력,14.0,10,42.92311145118135,0.0029670928575718587
60,세무사,11.0,4,42.3983328185066,0.0029308171338376533
61,원가,19.0,26,41.19190384140434,0.002847421809498245
62,ERP,13.0,9,41.09620725641034,0.0028408067099812244
63,회계 업무,15.0,15,40.36864624178743,0.002790513499238788
64,자체기장,9.0,2,39.2869756472175,0.002715742193364465
65,홈페이지,10.0,4,38.54393892591509,0.002664379212579685
66,회계관련,12.0,9,37.934960544378775,0.002622283116905746
67,세금계산서 발행,12.0,9,37.934960544378775,0.002622283116905746
