idx,skill,tf,df,tfidf,pr
0,세무기장정리,1.0,0,5.4638318050256105,0.014421627039047416
1,세무회계감정,1.0,0,5.4638318050256105,0.014421627039047416
2,세무,2.0,17,5.146920094258891,0.013585147685349104
3,감정,1.0,2,4.3652195163575005,0.011521871473161815
4,세무기장,1.0,7,3.3843902633457743,0.008933000845242425
5,기장,1.0,13,2.824774475410352,0.007455911054274842
6,회계,1.0,15,2.691243082785829,0.007103458780640761
7,정리,1.0,33,1.9374712804094487,0.005113899768882024
8,업무,1.0,88,0.9751954352934702,0.002574000327947138
9,법인세 관리,0.01,0,0.0546383180502561,0.00014421627039047416
10,소모품 수입,0.01,0,0.0546383180502561,0.00014421627039047416
11,영문 서신 작성,0.01,0,0.0546383180502561,0.00014421627039047416
12,엑셀 등 작업 가능자,0.01,0,0.0546383180502561,0.00014421627039047416
13,유해화학물질관리자,0.01,0,0.0546383180502561,0.00014421627039047416
14,가구 설치,0.01,0,0.0546383180502561,0.00014421627039047416
15,EMBEDDED SYSTEM,0.01,0,0.0546383180502561,0.00014421627039047416
16,타이어 탈착,0.01,0,0.0546383180502561,0.00014421627039047416
17,현장 조율,0.01,0,0.0546383180502561,0.00014421627039047416
18,경영계획 분석,0.01,0,0.0546383180502561,0.00014421627039047416
19,폐기물 관련 업무,0.01,0,0.0546383180502561,0.00014421627039047416
20,납품계획 세우기,0.01,0,0.0546383180502561,0.00014421627039047416
21,불량재고 처리하기,0.01,0,0.0546383180502561,0.00014421627039047416
22,매뉴얼 업무,0.01,0,0.0546383180502561,0.00014421627039047416
23,건축업무 경험,0.01,0,0.0546383180502561,0.00014421627039047416
24,UX 시나리오 제작,0.01,0,0.0546383180502561,0.00014421627039047416
25,평가계획 수립하기,0.01,0,0.0546383180502561,0.00014421627039047416
26,현장상황파악,0.01,0,0.0546383180502561,0.00014421627039047416
27,인허가관리,0.01,0,0.0546383180502561,0.00014421627039047416
28,사건 수임,0.01,0,0.0546383180502561,0.00014421627039047416
29,PF심의자료 작성,0.01,0,0.0546383180502561,0.00014421627039047416
30,디지털 교육 이해,0.01,0,0.0546383180502561,0.00014421627039047416
31,여행상품개발,0.01,0,0.0546383180502561,0.00014421627039047416
